ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CR5M479Q,"Heated Eyelash Curler with USB,Fast Heat up & 24H Long-Lasting,Rechargeable Electric Lash Curlers,Temperature Control,Safe Anti-Burn Quick Natural Curling Eye Lashes,Pink",$9.99,$115,96649,164,3.4,FBA,1,No
B0FQC9XFYR,"Heated Eyelash Curler,Portable Electric Heated Lash Curler Type-C Rechargeable Travel Eyelash Curlers with Heat Sensitive Silicone Pad,2-Level Adjustable Temp and Long-Lasting Natural Curves (Pink)",$9.98,$110,64597,41,4.2,FBA,2,No
B0FQTL8Y9D,"Heated Eyelash Curler, Type-C Rechargeable with 3 Temp Settings & Safe Silicone Pad for Natural Curls, Travel-Friendly (Pink)",$16.99,$316,52943,40,4.2,FBA,3,No
B0F6T16LHD,"DUDUDU Heated Eyelash Curler, Portable Travel-Size Mini Electric Heated Lash Curler - 2-Level Adjustable Temp & Type-C Recharge, 10S Heat 3S Style 24H Lift for Long-Lasting Natural Effortless Curves",$19.99,$821,35794,315,4.2,FBA,4,No
B0GYJHZT4G,Heated Eyelash Curlers - 2 in 1 Clip- Type Heated lash Curler Best Seller Electric Eyelash Curler LED Display 3 Temp Settings for Makeup Tools USB Rechargeable Natural Curling 24H Long Lasting QI1,$15.70,$626,39329,47,4.8,FBA,5,No
B0FF45W2TZ,Heated Eyelash Curler-USB Rechargeable Electric Eyelash Curler- Eyelash Curlers Heated 4 Temperature Modes Fast Heat Up Within 5s - 31 Hours Long Lasting- with Led Display for Women Girls (Orange),$9.99,,,0,,FBA,6,No
B0GH5SMTN2,"C-Shaped Eyelash Curler Heated, Portable Rechargeable Electric Eyelash Curler, Long Lasting Hold, Quick Natural Curling Eye Lashes, Safe Anti-Burn Design",$12.99,$270,58030,10,5,FBA,7,No
B0FYCSF5LV,Heated Eyelash Curler - Eyelash Curlers Heated 4 Temperature Modes| Rechargeable Electric Eyelash Curler Pro| Heated Lash Curler for Women Heat up in 8s Anti-Burn Design (Black-3),$16.80,$317,45838,31,4.9,FBA,8,No
B0GSG5C6R4,"Heated Eyelash Curler - 2-in-1 Clip-Type Design, 3 Temperature Modes, USB Rechargeable Electric Eyelash Curler, Natural Curling 24H Long-Lasting Curl, Gift for Women & Girls, Shiny Black C",$14.99,$532,23701,56,5,FBA,9,No
B0FY3KJQQW,Heated Eyelash Curlers - Eye Lash Curler Heat - Mini Electric Eyelash Curler with LED Display 3 Temp Settings USB Rechargeable Natural Curling 24H Long Lasting for Women Makeup Tools Gifts,$18.98,"$1,125",16677,120,4.5,FBA,10,No
