ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B076V66FZ4,4-Pack of Fermentation Glass Weights with Easy Grip Handle for Wide Mouth Mason Jars,$14.99,"$4,361",1644,6179,4.6,FBA,1,No
B0FXW9T79J,"4-Pack Mason Jar Fermentation Kit(Jars Included) Four 32oz Fermentation Jars with Plastic Fermenting Lids, Airlocks, Silicone Rings & Grommets, and Glass Weights for Easy Fermenting & Storage",$39.99,"$1,080",12471,83,4.4,FBA,2,No
B0GGBJ7RMB,"4 Pack Fermentation Glass Weights with Handle for Large Wide Mouth Mason Jars, Dishwasher Safe",$15.99,$92,56431,8,5,FBA,3,No
B0GQZ5CVY5,"64oz Fermentation Jar Kit with Date-Tracking Lid Airlock Seal and Fermenting Weights, Wide Mouth Glass Jars with Scale Mark for Making and Storing Sauerkraut, Pickles (Pack of 2)",$29.99,$33,71814,0,4.8,FBA,4,No
B09SLVTB1L,"Elementi Fermentation Weight Set of 2 - Easy to Use Glass Fermenting Weights, Perfect Fit for Wide Mouth Mason Jars, Highly Durable Soda-Lime Glass Fermentation Kit for Sauerkraut, Kimchi & More",$9.99,$489,19282,1080,4.6,FBA,5,No
B0DSTXR7JV,"4Pcs Wide-Mouth Fermentation Glass Weight Set With Easy Grip Perfect For Home Brewing, Pickling, Canning, Fermented Fruits, Sauerkraut, Kimchi And More. (4)",$11.99,$51,97320,26,4.1,FBA,6,No
B07RK36W7H,"Glass Fermentation Weights for Wide Mouth Mason Jars — Set of 4, Easy Lift Handles — for Sauerkraut, Kimchi, Pickles & Kombucha",$16.99,$397,22404,1036,4.6,FBA,7,No
B0BLTKGTPH,"Okllen 9 Pack Glass Fermentation Glass Weights for Large Wide Mouth Mason Jars Easy Grip Handle, Dishwasher Safe",$19.99,$858,12649,448,4.7,FBA,8,No
B0DXVHXSM7,"MFacoy 4-Pack of Fermentation Glass Weights with Easy Grip Handle for Great Wide Mouth Canning Mason Jars, Pickling Sourkrout Kraut Glass Weight Fermentation Kit with Easy Grip Handle, Dishwasher Safe",$11.99,$997,10397,355,4.6,FBA,9,No
B00LOVZVBC,Masontops Pickle Pebble Glass Fermenting Weights - Pickling Fermentation Weight Set - Small Mouth Size For Mason Jar Fermentation Kit,$21.99,"$1,403",9809,3917,4.7,FBA,10,No
