ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FTMRMGX5,"Field Hockey Stick Bag - Spacious & Practical, Holds Multiple Sticks, Premium Waterproof Thickened Fabric, Large Capacity for Gear + Top Zipper & Bottom Mesh Pockets, Ideal for Training & Games",$29.99,$65,110671,27,4.2,FBA,1,No
B0DYJTQDMX,Osaka Field Hockey Shin Guard Sleeves - White | Pink | Black,$25.00,$23,113306,0,,FBA,2,No
B0D6R44JZ6,"Goloni 4 Sticks Field Hockey Bag with Shoulder Straps,Field Hockey Stick Backpack with Shoe Compartment",$39.99,$31,264774,34,4.7,FBA,3,No
B0C4M13BCD,"STX Field Hockey Start Pack - Junior with Stick, Shin Guards, Bag & Balls, Black/Teal",$109.99,$104,85110,83,4.8,FBA,4,No
B005SYCUXI,STX Field Hockey Shin Guard Sleeve,$15.00,$739,23661,702,4.6,FBA,5,No
B0F7XK4FX8,"Osaka Field Hockey Full Package - Junior with Stick, Shin Guards, Bag & Balls, 30"",32"",34"",35"",36.5""",$79.00,$25,211908,4,3.7,FBA,6,No
B0F1MZ4YTQ,"Goloni 4 Stick Field Hockey Bag,Backpack with Independent Shoe Pouch & Multiple Pockets, Fits All Field Hockey Gear",$39.99,$22,294657,16,4.9,FBA,7,No
B000LI5RZ4,STX Field Hockey Shin Guard Sleeve,$15.00,$739,25966,702,4.6,FBA,8,No
B0000BYN5Z,STX Field Hockey Reversible Shin Shield,$23.00,$559,29215,252,4.6,FBA,9,No
B082BGT2Q6,Field Hockey Sticks 30 Inch 32 Inch 34 Inch Shin Guards Ball Bag Complete Gift Set - Hockey Stick Colorful Hockey Ball Set,$75.00,$4,368664,31,4.1,FBA,10,No
