ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DPGPKVJB,"6 Pack Fish De-Hooker, Durable Hookout, 10"" Hook Remover Tool",$29.95,$3,254304,31,4.8,FBA,1,No
B0FCN357BJ,"Rite Angler Aluminum Fish Hook Remover Tool – Fishing Hook Removal Tool Extractor for Easy Fish Unhooking, Dehooking, Catfish, Ice Fishing, Quickrelease, Long Remover - Blue/Black, 13.5""",$12.50,$55,139269,2,4.5,FBA,2,No
B0FK1Q4125,"Classic Dehooker, 8.5"" Stainless Steel Fish Hook Remover Tool for Saltwater & Freshwater, Pistol-Grip Fishing Hook Extractor, Durable Hook Out Device",$54.99,$77,58912,9,4.6,FBA,3,No
B0824P8JNB,Stainless Steel Fish Hook Remover Hookout Hook Out 9.5in,$13.29,$48,77222,205,4.4,FBA,4,No
B0FN3XHNX1,"Fishing Pliers & Fish Hook Remover Tool Kit - 2 Stainless Steel Hook Removers with 1 Split Ring Pliers, Non-Slip Handle for Bass Trout Catfish, Saltwater Freshwater Family Fishing Gear",$9.68,$715,11237,96,4.2,FBA,5,No
B0CN6M91H9,"Stainless Steel Fishing Hook Remover，Dehooker Tool,Push/Pull Hook Remover，Anti-Lost Saltwater Dehooker Tool Shark Hook Remover",$16.14,$347,25094,197,4.5,FBA,6,No
B0DPG5TGRG,"UCEC Fish Hook Remover Tool, Dehooker Tool Fishing, Squeeze-Out Hook Remover Tool Fishing, Fast Decoupling Securely, Pro Fishing Hook Remover Extractor, Aluminum Easy Reach and Portable, 2Pcs",$11.99,$60,118252,25,4.5,FBA,7,No
B0DTP76XQP,Human Fish Hook Removal Tool. The Only Ambidextrous Ergonomically Designed Human Fish Hook Removal Tool.,$39.99,$900,10665,96,4.6,FBA,8,No
B0FNCJ78DY,"Booms Fishing Hook Remover Tool: 9.6"" Squeeze-Out Fish Dehooker for Saltwater and Freshwater, Quick Release Aluminium Fish Hook Extractor with Lanyard, Fishing Tools for Men, XW20",$9.99,$267,39784,17,4.9,FBA,9,No
B0CPPS3JPB,Fish Hook Remover Tool Stainless Steel Fish Dehooker Freshwater Saltwater Fishing Pliers 11-1/2 inch,$7.58,$282,28643,289,4.6,FBA,10,No
