ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F2F346VP,"SOYEEZE Fishing Rod Holders for Garage, 4 Tier Adjustable Fishing Pole Holders Up to 12 Rods, Fishing Rod Rack with Lockable Wheels for Large Tackle Box Storage and Fishing Equipment Organization",$69.99,$14,353185,25,4.6,FBA,1,No
B0BKYW24PQ,Reaction Tackle Ultimate Tackle Box Trays: Boxes to Organize and Store in Your Fishing Tackle Bag! For Anglers on The Go - 3600 Tackle Tray and 3700 Tackle Trays - Plastic Storage Tackle Box Conatiner,$33.98,$504,20210,480,4.4,FBA,2,No
B0060JNORG,"Flambeau Outdoors 4510 Clear Fishing Organizer - Super Half Satchel Soft Fishing Lure Storagees, Bait Organizer, Tuff Tainer with Zerust Anti-Rust Dividers",$14.96,"$1,440",3837,4680,4.7,FBA,3,No
B000EDPS3C,"Flambeau Outdoors 2059 Hip Roof 7-Tray Fishing Tackle Box - Large Portable All-Weather Fishing Lure Organizer, 61 Compartments, Beige/Terracota Brown",$30.39,$337,38751,1449,4.6,FBA,4,No
B000E3FKTO,"Plano Guide Series StowAway 4-By Rack System Tackle Box, Holds 4 3700 Utility Tackle Boxes, Quick-Access Top Storage with DuraView Lid, Durable Construction, Flexible, Adaptable Fishing Box",$69.99,$550,18916,2289,4.7,FBA,5,No
B0BR3JBP67,"KastKing HyperSeal Waterproof Tackle Box, 3600 and 3700 Tackle Trays, Fishing Tackle Box Organizer with Removable Dividers, Lure Box and Terminal Tackle Storage",$28.79,"$4,652",1212,542,4.7,FBA,6,No
B000E39T3C,"Plano 7771-01 Guide Series Tackle System, Premium Tackle Storage",$87.99,$381,18855,2274,4.6,FBA,7,No
B0DFTNCS42,"Noamus 3 Pack Double Sided Fishing Lure Boxes, 14 Compartments Fishing Tackle Organizer with 2 Buckle, Plastic Clear Storage Case, Visible Hard Bait Container for Jewelry Beads Earring Hook(3 Color)",$24.99,$166,68650,58,4.6,FBA,8,No
B074ZVLLT8,"Flambeau Outdoors 6383TB 3-Tray Tackle Box - Classic Fishing Lure Storage Organizer, Large Portable Tackle Box, 32 Tray Compartments, Red/Gray",$29.93,$647,17596,8012,4.5,FBA,9,No
B0BR3GLS74,"KastKing HyperSeal Waterproof Fishing Tackle Box, Waterproof 3600 and 3700 Tackle Trays, Organizer with Removable Dividers, Lure Box and Terminal Tackle Storage",$14.39,"$4,652",1214,501,4.7,FBA,10,No
