ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FS2CJ9JS,"Kuumba Made Vanilla Bean Fragrance Oil, Long-Lasting Scented Oil Perfume Roller, Vegan, Alcohol-Free, 0.15 Fl Oz",$12.49,"$5,935",7187,2020,4.4,FBA,1,No
B09X3HB2BR,Sol de Janeiro Hair & Body Perfume Mist,$39.00,"$115,484",53,51584,4.7,FBA,2,No
B097J3R55J,Pure Instinct Roll-On (2-Pack) - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,$26.95,$74,128352,250,4.1,FBA,3,No
B096LB7G9L,"Pure Instinct CRAVE Pheromone Perfume for Women — The Original Seductive Roll-On Pheromone Infused Essential Oil — Long Lasting Sensual Fragrance Oil, TSA Ready, 0.34 fl oz (10ml)",$16.95,"$12,556",2348,22952,4,FBA,4,No
B0FT6TFBND,"Kuumba Made Amber Paste Fragrance Oil, Long-Lasting Scented Oil Perfume Roller, Vegan, Alcohol-Free, 0.15 Fl Oz",$12.49,$339,63639,734,3.8,FBA,5,No
B07MHDHBXV,"Blossom Roll on Perfume for Women Alcohol Free Rollerball Perfume Oil with Essential Oils, Infused with Real Flowers, Made in USA, 0.3oz, 3 pack Mini Gift Set, Hibiscus/Honey Jasmine/Rose",$9.99,$501,40249,532,4.1,FBA,6,No
B00EJDG7XI,"Pure Instinct Pheromone Perfume Roll-On for Women & Men — The Original Pheromone Infused Essential Oil Cologne — Long Lasting Unisex Fragrance, TSA Ready, 0.34 fl oz (10ml)",$16.95,"$12,556",2228,86248,3.9,FBA,7,No
B0BX5FLYRF,"benatu Vanilla Perfume Oil Roll On for Women, Alcohol Free Eau de Parfum,Travel Size Essential Oil Body Fragrance, Long Lasting, Sweet Woody Scent, 10 ml",$8.99,$542,42211,302,3.8,FBA,8,No
B078KGC57L,"Blossom Roll on Perfume for Women Alcohol Free Rollerball Perfume Oil, Essential Oils, Infused with Real Flowers, Made in USA, 0.20oz (Coconut, Lily of the Valley, Chamomile, Vanilla), Coconut Nectar",$9.99,$501,40249,409,4,FBA,9,No
B09C6J6VRF,"Skylar Salt Air Eau de Parfum - Hypoallergenic & Clean Perfume for Women & Men, Vegan & Safe for Sensitive Skin - Fresh Perfume with Notes of Driftwood, Sea Salt & Seaweed - 10mL /0.33 Fl oz",$33.00,$379,35556,579,4.4,FBA,10,No
