ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C66S8TYW,"Bonavita Enthusiast 8 Cup Drip Coffee Brewer, Pour Over, SCA Certified Coffee Machine with Thermal Carafe, Stainless Steel Panel, Removable Reservoir",$149.99,"$1,034",50382,165,4.2,FBA,1,No
B0F9HTS529,"Primula French Press Coffee Maker, Heat Resistant Borosilicate Glass with Stainless Steel Filters, 8 Cup, 34 oz, Black",$20.25,$237,134386,32,4.7,FBA,2,No
B006BMBLW2,"Bialetti Coffeepress French Press Coffee Maker, 8 Cup, Preziosa Stainless Steel (06852)",$39.99,$193,204485,6441,4.3,FBA,3,No
B0DFF4224M,"Ziruma Non-Toxic French Press, Surgical Stainless Steel Coffee Press, Plastic-Free, Heavy Metal-Free, No Endocrine Disruptors, 34 Oz, Double Wall, 4-Layer Filter, Portable Coffee Maker",$42.95,"$5,096",6126,541,4.7,FBA,4,No
B07DNQBY3B,French Press Coffee Maker – Single Serve 1 Cup Small Stainless Steel Thermal Double Walled French Press 350ML/12OZ,$24.98,$327,130817,1748,4.7,FBA,5,No
B00BKRHD20,"Bodum 12oz Brazil French Press Coffee Maker, High-Heat Borosilicate Glass, Black - Made in Portugal",$14.99,"$2,726",11450,16950,4.5,FBA,6,No
B00851LNES,"Bodum 34oz Chambord French Press Coffee Maker, High-Heat Borosilicate Glass, Brushed Stainless Steel – Made in Portugal",$39.99,"$5,671",4339,28546,4.6,FBA,7,No
B00JE36GLQ,"Secura French Press Coffee Maker, 304 Grade Stainless Steel Insulated Coffee Press with 2 Extra Screens, 34oz (1 Litre), Silver",$27.99,"$6,613",5384,35644,4.7,FBA,8,No
B01N78X92P,"Utopia Kitchen Borosilicate Glass French Press Coffee Maker 34 Oz, Heat-Resistant Cafetiere & Tea Maker, Thickened Glass Coffee Press for Travel and Camping, Black",$14.99,"$9,431",2486,11348,4.4,FBA,9,No
B0FDQJFRYS,"Veken French Press Coffee Maker 34oz, No Plastic Touching Cafe,Thickened Glass Stainless Steel Brewer, Cold Brew Cafetera Tea pot for Kitchen Travel Camping, Gifts, Decor, Bar Accessories, Dark Pewter",$24.99,$545,2094,17648,4.7,FBA,10,No
