ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CYSLYR11,"SMALLRIG Leather Case Kit for FUJIFILM X100VI, Including Half Case, Flip Cover and Shoulder Strap, Genuine Leather Material, Portable and Protecting - 4558",$43.99,$469,78,399,4.3,FBA,1,No
B0D3T8MZ56,"SMALLRIG X100VI Half Leather Case Kit with Shoulder Strap, Retro Style Leather Camera Half Case with Aluminum Alloy Frame for FUJIFILM X100VI (Brown)",$29.67,$220,243,300,4.4,FBA,2,No
B0D3TDFCMQ,"SmallRig X100VI Half Leather Case Kit with Shoulder Strap, Retro Style Leather Camera Half Case with Aluminum Alloy Frame for FUJIFILM X100VI (Black) - 4700",$34.90,$220,243,300,4.4,FBA,3,No
B0FPFWCDH7,"SMALLRIG Leather Case Kit for FUJIFILM X100VI, Including Leather Half Case, Flip Cover and Shoulder Strap, Genuine Leather Material, Portable and Protecting, Black-5622",$46.74,$469,78,399,4.3,FBA,4,No
B0CZCMT9HJ,MUZIRI KINOKOO Half Case for Fujifilm X100VI - Retro Style Premium Genuine Leather Protective Case for Fuji X100VI/X100 VI Digital Camera - with Opening Bottom and Hand Grip Design - Black,$61.99,$219,286,286,4.7,FBA,5,No
B0GQ284V4R,"Leather XE5 Case, Compact Durable Camera Pouch for Fuji Fujifilm X-E5 XE5 X100VI X100V for Canon PowerShot V1 Carrying Protective Case Accessories Magnetic Closure Not Affect Use Neck Strap - Black",$21.99,$61,776,2,5,FBA,6,No
B0DGY23S36,Handmade Genuine Leather Camera Half Case for Fujifilm X100VI/Fujifilm X100VI Case - Top Layer Cowhide Body+hand sewn saddle stitch+Metal Base Plate+Hand Shank (Etoupe Gray),$118.98,$49,2876,3,5,FBA,7,No
B0DGY584C9,Handmade Genuine Leather Camera Half Case for Fujifilm X100VI/Fujifilm X100VI Case - Top Layer Cowhide Body+hand sewn saddle stitch+Metal Base Plate+Hand Shank (Gris Mouette),$109.99,$49,3399,3,5,FBA,8,No
B0FDQQZMMW,"SMALLRIG Leather Case Kit for FUJIFILM X Half, Retro Style Full-Cover Carrying Bag with Half Leather Case, Built-in Card Pocket, Portable and Protecting with Woven Shoulder Strap (Green) - 5220",$30.54,$57,812,61,4.5,FBA,9,No
B0GF895S2D,"PGYTECH Genuine Leather Camera Half Case for FUJIFILM X100 VI, Retro Style Leather Protector with Integrated Grip Handle, Aluminum Alloy Base & SD Card Slot (Midnight Black)",$49.95,$20,2503,5,4.3,FBA,10,No
