ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08GCJ9LHB,"Goplus Garden Kneeler and Seat, Foldable Garden Bench for Kneeling & Sitting, Widened 8"" EVA Soft Foam Pad, Heavy-Duty Garden Stool w/ 2 Large Tool Pouches, Gardening Gift for Women Men Seniors",$29.59,$619,7002,721,4.6,FBA,1,No
B0F1CR9YQK,"Saker Garden Kneeler and Seat Foldable Gardening Stool with Extendable Legs & Thickened Pad, Tool/Storage Bag, Heavy Duty 400lbs Support for Elderly, Gardening, Outdoor Use",$60.29,"$2,343",4934,209,4.6,FBA,2,No
B0FQ4X1K25,"Garden Kneeler and Seat, 2-in-1 Foldable Garden Bench with Non-Slip EVA Foam Pad, Storage Bags, Glove, Portable Gardening Stool for Kneeling & Sitting, Ideal for Gardeners, Patio, Fishing",$45.99,$193,45794,28,4.8,FBA,3,No
B0BVVDC3KH,"WORKPRO Extra Thick Kneeling Pad, Soft NBR Foam Cushioning for Knee, Large Foam Kneeler Mat for Gardening, Bathing Baby, Exercise, Workout Supplies, 17.5 x 11 x 1.5 in, Black",$15.99,"$11,548",255,3907,4.8,FBA,4,No
B07L6QQD8R,"GORILLA GRIP® Extra Thick Patent Pending Supportive Foam Kneeling Pad, Large Cushion Knee Pads for Gardening, Baby Bath Time, Dirt and Water Resistant, Workout and Garden Supplies, 17.5x11, Black",$14.99,"$6,860",449,20694,4.6,FBA,5,No
B09P3RK967,"2-in-1 Garden Kneeler & Seat, Folding Seat w/EVA Foam Kneeling Pad & Removable Tools Pouch, Sturdy Steel Frame, No Assembly, Portable Heavy Duty Garden Stool for Women & Men",$40.98,"$2,781",2620,1293,4.8,FBA,6,No
B0FQP576CC,"Heavy Duty Garden Kneeler & Seat with Support Legs, 400lbs Capacity Foldable Gardening Stool, Extra Thick Pad & Large Tool Organizer Bag, Ergonomic for Seniors - Dark Black",$39.99,$702,12185,1001,4.6,FBA,7,No
B0GXKQYWJ5,"2-in-1 Garden Kneeler and Seat, Folding Garden Seat w/EVA Foam Kneeling Pad & Removable Tools Pouch, Sturdy Steel Frame, No Assembly, Portable Heavy Duty Garden Stool for Women Men Seniors",$42.99,,,0,4.8,FBA,8,No
B0CGFQ1Z95,Aimerla K5 Foldable Kneeler Seat - Heavy Duty (Detachable Cloud Kneeler Pad) - Garden Stool - 2 Large Tool Bags - Portable Bench for Indoor & Outdoor,$66.99,"$2,239",2348,895,4.7,FBA,9,No
B0GN3FN1SL,"Backyard Expressions Garden Kneeler & Seat – 2-in-1 Garden Stool and Kneeler, Foldable Gardening Bench with Cushioned Pad for Weeding, Planting & Yard Work",$40.28,$651,20266,703,4.7,FBA,10,No
