ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FFGZ9LTQ,"5-Pack Borosilicate Glass Containers with Tempered Lids, 35.2oz/4.4 Cup Airtight Meal Prep Set, Microwave/Freezer Safe (Gray)",$45.99,"$4,970",701,1165,4.1,FBA,1,No
B0D4M1SMPR,"Skroam 10 Pack Glass Meal Prep Containers, 22 OZ Glass Airtight Food Storage Containers with Lids, Pantry Kitchen Storage Containers for Lunch, Food Storage, Meal Prep, Lunch Bento Boxes",$27.89,"$3,886",584,5836,4.7,FBA,2,No
B0DWLHPM8Q,"8 Pack Borosilicate Glass Food Storage Containers with Lids, Glass Meal Prep Containers, Airtight Bento Lunch Boxes with Snap Locks, Oven, Freezer and Dishwasher Safe, BPA Free, Kitchen Storage Set",$19.99,"$9,948",113,2189,4.6,FBA,3,No
B0BZS66X6R,"VERONES 12 Packs Glass Food Storage Containers Set, Airtight Glass Lunch Containers, Glass Meal Prep Containers with Lids,Exclusive of BPA, for Microwave, Oven, Freezer & Dishwasher Friendly,Grey",$39.18,"$2,048",4123,3748,4.5,FBA,4,No
B0DKF4MVY5,"HOMBERKING 18 Piece Glass Food Storage Containers with Lids, Glass Meal Prep Containers, Airtight Lunch Bento Boxes, BPA-Free & Leak Proof, Oven, Freezer and Dishwasher Safe (9 lids & 9 Containers)",$19.99,"$1,016",336,1535,4.6,FBA,5,No
B0DKFK9LTK,"HOMBERKING 10 Pack Borosilicate Glass Meal Prep Containers with Locking Lids, Glass Food Storage Containers Set, Airtight Lunch Bento Boxes, BPA-Free & Leak Proof, 36oz & 14oz, Freezer, Oven Safe",$29.41,"$5,720",1455,2441,4.5,FBA,6,No
B0D7P6XKNP,"Vtopmart 5Pack 22oz Glass Storage Containers with Lids, Glass Meal Prep Food Container Sets with Snap Airtight Lids for Microwave, Oven, Freezer and Dishwasher, Grey",$23.99,"$18,314",220,3577,4.6,FBA,7,No
B0CTGZ8F9K,"34pcs Glass Food Storage Containers with Lids Set, Airtight Glass Meal Prep Containers (17 Containers & 17 Lids), Leak Proof Lunch Container BPA-Free, Microwave, Oven, Freezer, Dishwasher Safe-Black",$33.99,"$3,564",3012,2193,4.3,FBA,8,No
B08X4615SC,"KOMUEE 10 Packs 30 oz Glass Meal Prep Containers,Glass Food Storage Containers with Lids,Airtight Lunch Bento Boxes,Microwave,Freezer and Dishwasher,Gray",$43.99,"$10,521",494,4711,4.6,FBA,9,No
B0B9S5HZ26,"Vtopmart 8 Pack Glass Food Storage Containers with Airtight Lids, Glass Meal Prep Containers, Lunch Office Meal for Microwave, Oven, Freezer and Dishwasher, BPA Free",$23.99,"$20,294",103,13710,4.4,FBA,10,No
