ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D3G9X8DR,"YOUSHARES Insulin Cooler Travel Case, GLP-1 Diabetic Medicine Cooling Bag for Zepbound for Mounjaro Pen, Refrigerated Diabetes Supplies Organizer with 2 TSA Approved Ice Pack",$9.99,"$2,063",21992,436,4.5,FBA,1,No
B077Z54GX5,"Compact Travel Sharps Disposal Container - 3 Pack of 80ml Safe Disposal Container for Insulin Needles, Pen Needles, Lancets, Strips – Built in Needle Remover Port – Pocket-Sized to fit Small Pouch",$12.95,$206,84475,1396,4.5,FBA,2,No
B0DC4CXFSK,"3 Pack Portable Sharps Container for Travel and Home Use, FSA/HSA Eligible, Pocket Travel Sharps Disposal Container, Designed for Diabetic Needles and Test Strips Compact Size for Daily Personal",$8.99,"$1,090",27636,282,4.4,FBA,3,No
B0F26M71TJ,"Insulin Cooler Travel Case TSA Approved Diabetic Medicine Cooling Bag with Digital Temperature Display, 2 Ice Pack",$22.99,"$3,304",14321,368,4.5,FBA,4,No
B0CP9ZV2WB,Sharps Container Small - Sharps Containers for Home Use and Labs - Portable Needle Disposal and Travel Size Biohazard Bin - 1 Quart (Pack of 1),$10.99,"$25,116",2231,4092,4.6,FBA,5,No
B0DC49K8NB,"1 Pack Portable Sharps Container for Travel and Home, FSA/HSA Eligible, Pocket Travel Sharps Disposal Container, for Diabetic Needles and Test Strips Compact Size for Traveling and Daily Personal Use",$5.99,"$1,090",27087,282,4.4,FBA,6,No
B0BFJW6X41,Alcedo Sharps Container for Home Use 1 Quart (1-Pack) | Biohazard Needle and Syringe Disposal | Small Portable Container for Travel and Professional Use,$6.95,"$47,073",479,10120,4.7,FBA,7,No
B01EGJ9GFA,Ever Ready First Aid Porta Sharps Transportable Sharps Container with Locking Mechanism - 6 Count,$9.95,$889,29065,1503,4.5,FBA,8,No
B0FWQYH13S,"suzamed Insulin Cooler Travel Case,EVA Insulation Travel Medicine Kit with 2 Ice Packs for Diabetes Care,Insulin Pen and Other Diabetic Supplies (Pink)",$8.99,"$21,310",1858,2333,4.6,FBA,9,No
B0CFNJZ9S9,"Alcedo Portable Sharps Container for Travel and Home Use (3-Pack), Small 0.1L Container for Diabetes Insulin Pen Needle Disposal, Mini Sharps Box, Medical Grade",$9.49,"$1,018",27074,551,4.4,FBA,10,No
