ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0869T1YTS,"Traditional Medicinals Organic, Belly Comfort Lozenges, Lemon Ginger - Supports Nausea Relief and Occasional Indigestion - Non-GMO, Stimulant-Free - 30 Individually Wrapped Lozenges",$11.99,"$11,950",3072,2644,4.6,FBA,1,No
B004BH15K2,"USDA Organic Natural Ginger Tummydrops, Gluten Free & Vegan, 33 Individually Wrapped Drops in a Resealable Bag",$14.99,"$4,398",11820,8270,4.4,FBA,2,No
B0DGMLGN2X,"The Ginger People Ginger Rescue Digestive Wellness Lozenges (Hard) | Regular Strength - 425mg | Morning Sickness, Nausea, Upset Stomach, Mild Gas & Indigestion, 30 Count (Pack of 1)",$8.99,"$12,850",4168,722,4.4,FBA,3,No
B0CR6RHGPC,"Fast-Acting Ginger for Nausea Relief | Herbal Relief for Pregnancy Nausea and Morning & Motion Sickness | Ginger, Lemon, Spearmint & B6. 28 Individually Sealed Drops.",$12.99,"$1,232",25923,506,4.3,FBA,4,No
B0BQZBHDQM,"USDA Organic Strawberry Ginger Tummydrops, Gluten Free & Vegan, 33 Individually Wrapped Organic Ginger Lozenges",$14.99,"$1,127",15332,503,4.5,FBA,5,No
B078ZJWW64,"Pink Stork Morning Sickness Sweets, Organic Raspberry Ginger Candy with Vitamin B6, Support for Motion Sickness, Prenatal Heartburn - Pregnancy Must Haves - 30 Wrapped Drops",$14.99,"$6,149",6920,6615,4.1,FBA,6,No
B0GMRTYKN3,Bulk Ginger Candy Drops - 1.25lbs Gingermint Hard Candy Individually Wrapped - Nausea Relief and Digestion Aid | Natural Ginger Flavor with Soft Center,$12.99,$37,84177,0,,FBA,7,No
B0CWW9TMJF,Ginger Candy - 1 Pound Bag - Hard Ginger Candy For Nausea Relief And Digestion Aid - Individually Wrapped Candies (Approx 90 Pieces),$9.99,"$2,371",8491,1110,4.5,FBA,8,No
B0FCYM273C,"Berry Ginger Candy for Nausea Pregnancy by LoveNoobs™, Anti Nausea Pregnancy, Candy for Morning Sickness, Drops for Motion Sickness, Sugar-Free, B6",$9.99,$482,40396,9,4.3,FBA,9,No
B07XYH5337,Tummydrops USDA Organic Sweet Blackberry Ginger,$14.99,$877,28515,1672,4.5,FBA,10,No
