ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FLWHQB7N,"The Five Minute Gratitude Journal: A Simple Daily Practice to Cultivate Positivity, Mindfulness and Joy: Boost Your Mood, Rewire Your Mindset and ... of Thankfulness- in Just 5 Minutes a Day",$9.99,,,0,,FBA,1,No
B0DM9M5381,"The Original Gratitude Journal - 5 Minute Gratitude Practice with Inspiring Prompts & Quotes for Mindfulness, Reflection & Personal Growth 2026 - Wellness Journal for Men & Women",$9.49,"$2,016",,315,4.8,FBA,2,No
1647397197,"The 5-Minute Gratitude Journal: Give Thanks, Practice Positivity, Find Joy",$6.51,"$1,484",,5632,4.7,FBA,3,No
B0FC2KHXZ2,"SUNEE Daily Gratitude Journal – 52 Weeks Simple 5 Minute Journal for Daily Reflection, Build Positivity and Mindfulness, Undated Minimalist Planner for Women & Men (Beige)",$9.99,$198,,46,4,FBA,4,No
B0G3L5FFSY,"And Per Se Gratitude Journal – Five Minutes a Day to Cultivate Mindfulness, Happiness, Affirmations & Self-Reflection – Undated Daily Gratitude Journal for Women & Men (Garden Flowers)",$9.98,"$1,088",,103,4.8,FBA,5,No
0991846206,"Intelligent Change The Five Minute Journal - Original Daily Gratitude Journal for Women & Men - Mindfulness, Happiness & Daily Reflection - Undated Planner - Affirmation Journal - Gifts for Women",$29.99,"$4,930",,17517,4.5,FBA,6,No
B0F7GGF372,"The Gratitude Journal for Women & Men, Hardcover Spiral 5 Minute Daily Gratitude Journal for More Happiness, Optimism, Affirmation & Reflection with Prompts & Quotes, Undated Daily Journals(93 pages / 3 months supply) Gifts",$5.99,$762,,481,4.5,FBA,7,No
B0CQ8RBYVD,"Gratitude Gifted 5-Minute Guided Gratitude Journal – Daily 180 Prompts, Self-Care & Mindfulness, Leather Hardcover, Undated to Foster Happiness, Wellness, Positivity for Men & Women",$26.99,$155,,241,4.8,FBA,8,No
B0FC2NW1DD,"SUNEE Daily Gratitude Journal – 52 Weeks Simple 5 Minute Journal for Daily Reflection, Build Positivity and Mindfulness, Undated Minimalist Planner for Women & Men (Black)",$11.99,$198,,46,4,FBA,9,No
B0B4BC97JT,"The Gratitude Journal for More Happiness, Optimism, Affirmation & Reflection - An Effective Manifestation Guide Journal, Undated Daily Journals for Women & Men (Beige)",$8.99,"$1,930",,1227,4.8,FBA,10,No
