ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08VQN5MX7,"Earthing Elite Sleep Mat Kit, Clint Ober's EARTHING Products, Grounding Mat for Any Size Bed",$179.99,$220,186690,610,3.9,FBA,1,No
B0DHXHK7KM,"Grounding Sheets,Twin Fitted Sheet with Grounding Wire for Better Sleep,90% Organic Cotton 10% Pure Silver,Earth Connected Bed Sheets(Gray, 39 * 75 * 15inch)",$48.99,$316,123620,146,4.2,FBA,2,No
B0G1CPSJ53,"Grounding Sheets with Grounding Mat Set,25% Pure Silver Fiber+75% Organic Cotton,Deep Pocket Grounded Bed Fitted Sheets,40S Anti-Pilling Combed Cotton.",$159.00,$216,202342,36,3.9,FBA,3,No
B0FR9C8DRR,"The Grounding Co. Fitted Terra Grounding Sheets Twin Size – Premium Organic Cotton Earthing Sheet with Silver-Infused Threads– for Sleep, Recovery & Wellness – Gray",$149.95,$379,113117,116,3.9,FBA,4,No
B0FPR8NX3C,"Earth Grounding Fitted Sheet with 12% Silver Fiber & 88% Organic Cotton | King Size Grounding Bed Sheet for Restful Sleep & Wellness | Eco-Friendly, Soft & Breathable",$109.99,$13,1261896,0,5,FBA,5,No
B0G52BV9TX,"Bare Earth Grounding Sheets Twin Size - 90% Cotton + 10% Silver Fiber Earthing Sheets Grounded Well Bed Sheet - Conductive Earth Fitted Sheet for Better Sleep(White, Twin, 35*75*15inch)",$59.99,$206,209539,36,3.8,FBA,6,No
B0GVKYC94P,"Grounding Sheets Twin XL Deep Pocket 12% Silver Fiber and 88% Organic Cotton, Fitted Earth Grounded Bed Sheets for Improved Sleep (Beige, Twin XL - 39""x80""x15"")",$66.99,$443,29618,44,4.6,FBA,7,No
B0G527TCNT,"Earth Grounding Sheet Twin Size - 90% Cotton + 10% Silver Fiber Earthing Sheets Grounded Bare Well Bed Sheet - Conductive Earth Fitted Sheet for Better Sleep(Gray, Twin,35 * 75 * 15inch)",$59.99,$206,209539,31,3.8,FBA,8,No
B0G2XM2R9T,"Grounding Fitted Sheets Twin Size, Grounding Sheets Twin with 10% Silver Fiber, 15'' Deep Pocket Grounded Fitted Bed Sheets for Better Sleep & Wellness, 39"" x 75""x15"", Gray",$49.99,$444,162000,49,4.4,FBA,9,No
B0DTFLKRT7,Earth Grounding Sheets Twin XL Size with 12% Silver Fiber & 4% Silk & 84% Cotton - Gray - Quality Certified Grounded Well Bed Sheet - Conductive Fitted Sheet for Better Sleep,$109.96,"$1,399",44221,1154,4.1,FBA,10,No
