ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FFT2BSRL,"Professional Grounding Mat with Carbon Fiber Technology | 24""x16"" Indoor Earthing Pad + 15ft Medical-Grade Cord | Cellular Energy Renewal & Inflammation Support",$29.99,"$1,227",48913,87,4.1,FBA,1,No
B08VQN5MX7,"Earthing Elite Sleep Mat Kit, Clint Ober's EARTHING Products, Grounding Mat for Any Size Bed",$179.99,$215,211914,610,3.9,FBA,2,No
B07VSRK68V,"hooga Grounding Mat for Feet, Desk & Floor | Sleep, Stress Relief & Muscle Relaxation | 24""x16"" Conductive Carbon Pad | 15 Ft Cord | Non-Slip Rubber Backing | Indoor Grounding Mat",$29.99,"$4,432",792,7209,4.1,FBA,3,No
B0DPZPHCDF,"Grounding Pads for Feet (2-Pack, 13x29in) – Grounding Mats for Full Body Relaxation, Better Sleep & Everyday Grounded Wellness",$59.99,$374,305282,2527,4.1,FBA,4,No
B0FJFFFZJ4,Grounding Sheets Queen Size - Grey Earthing Sheets for Natural Sleep Enhancer - 90% Organic Cotton + 10% Pure Silver Fiber Fitted Grounding Bed Sheets with Grounding Cord for Cozy Night,$71.00,$65,243352,140,3.9,FBA,5,No
B07D5FLV6K,"Earthing Half Sheet, Grounding Sheets for Earthing, Earthing Mat, Grounding Kit | Including Grounding Cord & 2 Suspenders | Earthing Sheet, Grounding Mat Earthing",$79.95,$3,1591838,124,4.1,FBA,6,No
B0GJPYR76T,"Grounding Mat Earthing Pad - Earth Grounded Sleep Bed Pad - Ground Chair Desk Mat for Feet Body Yoga Improve Sleeping (16"" x 27"")",$21.99,$521,19221,13,5,FBA,7,No
B0F1V5GXTH,"Grounding Mat For Feet - For Monitoring Body Voltage Drop - Boost Blood Circulation, Improved Overall Health - Earthing Mat for Office Desk or Feet",$23.97,$519,16666,76,4.7,FBA,8,No
B0D83XBTXV,"GAYA Grounding Mat for Feet, Sleep Improvement, Back Pain Relief, Muscle Relaxation & Stress, Including 15ft Cord, 100K Ohm Resistor | Conductive Carbon | Earthing Pads for Bed Couch, Desk (24''X16'')",$39.99,"$1,093",4552,753,4.4,FBA,9,No
B0C3JD6W81,"Grounding Mat for Feet (13x29in) – Earth Connected Wellness for Pain Relief, Muscle Tension & Relaxation – Travel Size Grounding Pad with Outlet Tester by Earth and Moon",$34.99,$374,53773,2532,4.1,FBA,10,No
