ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F1TBQ96J,"Real Perfection Gua Sha Facial Tools Face Roller for Wrinkles Jade Roller and Gua Sha Set, Scrubber Pore Brush Headband Skin Care Tools for Travel Skincare Routine Massaging Reducing Puffiness - Green",$5.69,"$2,618",10449,214,4.3,FBA,1,No
B08RD6S5HF,"BAIMEI IcyMe Gua Sha & Jade Roller Set, Cooling Face Roller & Gua Sha Tool for Depuffing, Facial Sculpting & Jawline Definition, Smooth Rolling Skincare Tools for Women & Men – Green",$7.99,"$15,210",1014,38164,4.5,FBA,2,No
B09961TCV4,"huefull Genuine Jade Roller & Gua Sha Set for Face, Cooling & Firming Effect, Sculpting Tool for Jawline & Skin Care, Self-Care Gifts for Women & Men",$6.99,"$1,708",16827,4709,4.5,FBA,3,No
B0C2YQBSG5,"huefull Gua Sha Facial Tool for Face and Body, Gua Sha for Self Care, Guasha Tool Tensions Relief and Reducing Puffiness,Self Care Gifts for Woman/Men, Skin Gifts",$6.99,$110,135068,484,4.5,FBA,4,No
B0B1CCC2QQ,Gua Sha Face Tool Set - 5 in 1 Jade Facial Massager Set with Roller and Massager,$9.59,$670,30557,1105,4.5,FBA,5,No
B0F1TD67PM,"Real Perfection Gua Sha Facial Tools Face Roller for Wrinkles Jade Roller and Gua Sha Set, Scrubber Pore Brush Headband Skin Care Tools for Travel Skincare Routine Massaging Reducing Puffiness - White",$5.69,"$2,618",10450,214,4.3,FBA,6,No
B08TBFY93J,"Rena Chris Guasha Massage Tool, 4 pcs Gua Sha Facial Tool, Guasha Board for SPA Acupuncture Therapy Trigger Point Treatment, Gua Sha Scraping Massage Tool (Green)",$8.99,"$1,133",27558,3964,4.7,FBA,7,No
B0DYDHB5XV,"LeMeeOly 3pcs Stainless Steel Gua Sha Facial Tools & Eye Cream Applicator Metal GuaSha Set for Face Body, Detailer Gua Sha Lymphatic Drainage Massager,Guasha Face Sculpting Tool",$12.87,$344,69944,195,4.2,FBA,8,No
B07XHS5MWJ,"7 Pieces Gua Sha Scraping Massage Tool,Natural Resin GuaSha Tool Massage Tools Set for Face Back and Neck Release,Reduce Muscle Pain,with Storage Bag (Green)",$8.59,$344,65199,973,4,FBA,9,No
B0GSZF8FQ2,"5PCS Face Roller & Gua Sha Facial Tools, Face Massage for Wrinkle Reduction & Puffiness Relief, Includes Silicone Scrubber, Headband & Travel Pouch, Jawline Sculpting and Pore Cleansing Set",$5.99,"$2,563",9598,113,4.3,FBA,10,No
