ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01M0F4NFO,"GLORYFIRE Gun Cleaning Kit Universal for Guns, Gun Brushes for Pistol, Handgun, Shotgun, Elite Brass Rods and Wire Rope, Hunting Gear Gun Accessories for Men",$38.99,"$1,757",3142,11187,4.6,FBA,1,No
B0D5QH3FRW,"Elite Universal Gun Cleaning Kit for All Guns, Gun Brushes for Pistol Handgun Shotgun Rifle, Durable Brass Rods, 9mm Bore Rope, Oil Bottle, Brushes, Brass Jags, Carrying Case Gun Accessories for Men",$45.99,$930,14860,302,4.6,FBA,2,No
B078ZDK2RZ,"iunio Gun Cleaning Kit, Universal Gun Cleaning Kit for All Caliber Shotgun Pistol Rifle Cleaning Kit with Mat Portable Case",$39.99,"$1,844",4570,4533,4.6,FBA,3,No
B0CN6JCVC7,"BESTNULE Gun Cleaning Kit, Rifle Cleaning Kit Universal for All Caliber, Pistols, Handguns, Shotguns, Gun Cleaner Brushes with Upgrade Brass Rods",$41.99,$141,80390,221,4.3,FBA,4,No
B0C5WKSBWV,"PERWIN Universal Gun Cleaning Kit for All Caliber Pistol Rifle Handgun Shotgun Hunting Cleaning Kit with Brass Rods and Tough Carrying Case, Gun Accessories Gifts for Men",$38.98,"$1,112",7382,1456,4.2,FBA,5,No
B0G23917ND,"Universal Gun Cleaning Kit — Bronze Brushes, Cotton Mops & Plastic Jags for Handgun & Shotgun | Fits .17 .22 .30 .38 .45 .50 Cal, 12GA/20GA/.410",$11.99,,,0,,FBA,6,No
B0FXLLHGQC,"Universal Gun Cleaning Kit — Multi-Caliber Bronze Brushes, Cotton Mops & Plastic Jags for Handgun & Shotgun | Fits .17 .22 9mm .25 .27 .30 .338 .35 .375 .40 .44 .45 .50 Cal + 12GA/20GA/.410",$15.99,$13,168784,0,,FBA,7,No
B0G25KSP67,"Universal Gun Cleaning Kit for Handgun & Shotgun — Multi-Caliber Brushes, Mops & Jags for .17, .22, .30, .38, .45 Cal and 12/20/.410 Gauge — Complete Pistol & Shotgun Cleaning Accessories",$11.99,$3,628535,0,,FBA,8,No
B0G25Q5XWL,"Universal Multi-Caliber Gun Cleaning Kit — Bronze Brushes, Cotton Mops & Plastic Jags for .22, .30, .38, .45 & Shotgun Gauges — Handgun & Shotgun Cleaning Supplies",$15.99,,,0,,FBA,9,No
B0FXLF1568,"Handgun & Shotgun Universal Cleaning Kit — Bore Brushes, Cotton Mops & Precision Jags for .17–.50 Cal Pistols and 12GA/20GA/.410 Shotguns",$11.99,$9,723629,0,,FBA,10,No
