ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07RQHPBHC,"Fitgriff® Gym Bag for Men & Women with Shoe & Wet Compartment - Duffle Bag for Travel, Sports, Fitness & Workout",$39.95,"$7,154",4397,11475,4.7,FBA,1,No
B0DHZLR39B,"RAINSMORE Gym Bag for Men, 45L Sports Travel Duffel Bag with Shoe & Laptop Compartment, Gym Workout Backpack Carry On Weekender Bag Overnight Backpack for Travel, Black",$35.87,$270,105609,279,4.5,FBA,2,No
B0FBGNX9ND,"Searock 45L Gym Bag for Men, 3-In-1 Duffle Bag Backpack for Travel, Sports Duffel Bags for Gym Workout, Weekender Overnight Bag with Shoe Compartment, Wet Pocket, Black",$29.99,$554,74373,55,4.5,FBA,3,No
B0DZBPZ92V,"WOLFILIST Gym Bags for Men/Women, 58L Large Sports Travel Duffel Bag with Shoes Compartment & Wet Pocket, Gym Workout Backpack, Weekender Bag Overnight Backpack for Travel",$42.97,$599,115190,54,4.7,FBA,4,No
B0F2T8LF4R,"SeaRock 14 inch Small Gym Bag for Men & Women, Mini Duffle Bag with Shoe Compartment, Carry On Duffel Bag for Travel Sports, Black",$16.99,"$1,158",55770,258,4.6,FBA,5,No
B0B1P5QMP9,Gym Bag Womens Mens with Shoes Compartment and Wet Pocket Travel Duffel Bag for Women for Plane Sport Gym Tote Bags Swimming Yoga Waterproof Weekend Overnight Carry on Bag Hospital Holdalls,$16.99,"$2,230",18851,2616,4.8,FBA,6,No
B07P8R34H7,"Fitgriff® Gym Bag for Men & Women with Shoe & Wet Compartment - Duffle Bag for Travel, Sports, Fitness & Workout",$35.95,"$7,154",4368,11466,4.7,FBA,7,No
B09QC2JPYB,Suruid Sports Gym Duffel Bag with Shoes Compartment and Dry Wet Separated Pocket for Men and Women - Overnight Weekender Training Handbag Yoga Bag - Black,$14.88,"$1,891",24424,1952,4.4,FBA,8,No
B0FCMKHRM8,"MIYCOO Gym Bag for Women Men, Duffle Travel Bag with Shoes Compartment and Wet Pocket, Waterproof Overnight Carry On Bag Backpack with Two Elastic Bottle Holders for Travel, Workout, Sports, Weekend",$16.99,"$1,572",28973,2060,4.5,FBA,9,No
B07GSJ45CF,Ultimate Gym Bag 2.0: The Durable Crowdsource Designed Duffel Bag with 10 Optimal Compartments Including Water Resistant Pouch,$28.99,"$3,123",11330,17996,4.6,FBA,10,No
