ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08W1TVC3W,"8 Pieces Hearing aid Amplifier Cleaning Tools, Earbuds/Headphones Cleaner Brush Kits with case",$9.99,"$1,502",22711,1597,4.7,FBA,1,No
B09TQQ9GXQ,12 Pieces Hearing Aid Cleaning Brush Kits Tools with Wax Loop and Magnet Suitable for Earbuds/Headphones Cleaner with Storage Case,$12.99,$110,107318,420,4.6,FBA,2,No
B0DLB8SFPJ,GN Wax Guards PN 20439700 Filters for Resound/phonak/Unitron/Resound/Beltone/Widex Heaing Aids with Cleaning Brush Tools Kit and Carry Case-3packs,$19.99,$551,46942,173,4.5,FBA,3,No
B0979GBQYZ,"Hearing Aid Cleaning Kit, Hearing aid Cleaning Tools, Hearing Aid Brushes for Cleaning, Hearing Aid Amplifier Cleaner Kit, Hearing Aid Accessories with case, Gifts for Relatives and Friends (8 Pcs)",$9.99,$513,60779,1144,4.6,FBA,4,No
B0DQD1BY8L,GN Wax Guards PN 20439700 Filters for Resound/Phonak/Unitron/Beltone/Widex Heaing Aid with Cleaning Brush Tools Kit and Carry Case-6packs,$36.99,$44,280986,28,4.4,FBA,5,No
B0CB7RCQXR,"Hearing Aid Cleaning Kit Tools, 4 PCS Hearing Aid Cleaning Brush with Wax Loop, Hearing-aid Accessories Supplies, Hearing-aid Vent Cleaner for Headphones Amplifier",$6.99,$55,129735,40,4.7,FBA,6,No
B0F211FFJG,"Premium Hearing Aid Cleaning Kit - Compatible with Rechargeable Hearing Aid with Bluetooth, Oticon, Phonak, Hearing Aid Cleaning Tools with Pen, Spray, Brush, Cloth, Hearing Aid Supplies Accessories",$9.99,$588,44841,197,4.6,FBA,7,No
B0CP13431S,50 Count Hearing Aid Cleaner Ready-to-Use Stands Effective Thread-Fine Instrument Cleaning Kits for Hearing Devices (50),$9.99,$659,34175,434,4.5,FBA,8,No
B0FW5P6RC6,"XANGNIER 20PCS Hearing Aid Cleaning Kit Tools,Hearing Aids Cleaner Brush,Hearing Aid Accessories and Supplies,Includes Blow Cleaning Ball,Nylon Strands,Cleaning Brushes,Screwdriver,Storage Box",$9.99,$58,177970,9,4.2,FBA,9,No
B0F6Q5S41B,"Hearing Aid Cleaning Kit - 20 Piece Tool Set with Case, 10 Hearing Aid Cleaner Wipes, and Magnifying Glass for Hearing Aids, Earbuds, Headphones, Ear Molds, Amplifiers & Small Electronics",$9.98,$195,124985,46,4.4,FBA,10,No
