ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GF1WXDLH,"Extra Large Heating Pad for Back,32""x20"" Electric Heating Pad for Neck,Shoulder,Legs,Knees and Other Body Parts Pain Relief,6 Heat Settings&10 Auto-Off Timers,Machine Washable,Gifts for Lover",$28.99,$184,83143,28,4.5,FBA,1,No
B0FL23X3DZ,"Heating Pad for Back, Neck, and Shoulder Pain Relief, Electric Heat Pad with 6 Heat Levels, Moist Heat Option, Auto Shut-Off, Birthday Christmas Gifts for Women Men Mom Dad Grandma, Gifts for her",$19.97,"$1,493",19074,1144,4.4,FBA,2,No
B0CGM2SWK2,"Graphene-Infused Heating Pad 3X Deeper Pain Relief, Weighted Instant Heating Pads for Neck and Shoulders, Heated Wrap w/ 6 Heat Options 4 Auto-Off Timer, Gifts for Mom Women Christmas Birthday",$35.99,,6262,3794,4.4,FBA,3,No
B0D1YFV7B7,"CooCoCo HSA Approved Heating Pad for Back Pain Relief, FSA Eligible Items Only, Electric Heat Pad for Neck Shoulders, Auto Off, Moist Heating, 24""x33"", 10ft Cord, Gray",$49.99,$196,82289,226,4.6,FBA,4,No
B0FKGMM3N6,"Fathers Day Dad Gifts for Men Husband, Electric Heating Pad for Neck Shoulders and Back Pain Relief, Large Weighted Neck Shoulders & Back Heat Pad, 6 Heat Settings Auto-Off, Gray",$29.99,"$1,076",37297,1507,4.4,FBA,5,No
B0FM2TVDB9,"Large Heating Pad for Back Neck Shoulders, Electric Heating Pad for Back Pain Relief, 6 Heat Settings & 4 Timers 24""x33"" Weighted Design, Birthday Christmas Gift for Women Men Mom Dad",$24.98,$219,67243,180,4.4,FBA,6,No
B0FPMPR7S7,"Graphene-Infused Heating Pad with 3X Deeper Pain Relief, 30% Heavier Weighted Heating Pad for Neck and Shoulders and Back, 25""x35"" Large Electric Heated Pads, Gifts for Mom Women Christmas Birthday",$39.99,"$1,378",26850,408,4.4,FBA,7,No
B0GJZ5PB1S,"Neck Heating Pad, Heating Pads for Neck and Shoulders and Back with 6 Heat Options 4 Auto-Off Timer, Weighted Heating Pad for Back Pain Relief, Gifts for Mom Women Christmas Birthday",$28.99,$607,15986,29,4.7,FBA,8,No
B0FN4155KZ,"Mothers Day Gifts & Birthday Gifts for Wife Women Men Mom, Electric Weighted Pad for Neck Back Shoulder Pain Relief, 25""x37"" Large Full Body Heating Pad for Menstrual Cramps - 5 Heat Levels/Snug Fit",$28.49,"$2,623",21011,449,4.3,FBA,9,No
B0FSRZQ3K3,"Large Electric Heating Pad for Full Body Pain Relief – 25""x37"" Heating Pad for Neck, Back & Shoulder with 5 Heat Settings, Auto Shut-Off, & Timer, Ideal Gift for Man Women & Seniors",$18.99,$227,59093,143,4.3,FBA,10,No
