ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07V844YR8,"Amazon Basics 36-Piece Allen Wrench/Hex Key Set, SAE & Metric Sizes, Chrome Vanadium Steel with Long Arm, 2 Organized Storage Cases",$10.49,"$10,948",,13282,4.7,FBA,1,No
B098TYMJ3X,GEARWRENCH 9 Piece Metric Ball End Long Arm Hex Key Set - 83521,$7.99,"$1,334",,758,4.7,FBA,2,No
B0BVHK7GTF,"ELEAD 31-Piece Hex Key Set - Allen Wrench Set, SAE and Metric Allen Keys MM(0.7mm-10mm) SAE(0.028""-3/8) Heat-Treated, Torque Handle, High Leverage, Long & Short Keys, Easy Organization",$13.99,"$14,675",,3153,4.5,FBA,3,No
B0FRDS6VFC,"toolant Allen Wrenches Sets 26pcs(Metric&SAE), Long Arm Allen Wrench with Ball End, Metric Hex Key Set 1.27mm- 10mm, SAE Hex Key Set 3/64""- 3/8"", Holder Design for Auto Maintenance and DIY Projects",$16.99,"$7,098",,65,4.9,FBA,4,No
B0776C2D6H,"Amazon Basics Hex Key Allen Wrench, Long Arm, Ball End, Metric and Standard Sizes, Chrome Vanadium Steel, 26-Piece with Storage Case",$14.40,"$4,659",,14611,4.7,FBA,5,No
B09NRBM57L,"DISEN 13 Pieces Hex Key Allen Wrench Set Metric Size with Ball End, 1.27-10 MM, Long Arm Ball Design, Chrome Vanadium Steel",$14.99,"$2,714",,372,4.7,FBA,6,No
B0CJBRYQF3,"AMTOVL Hex Key Set, 9PCS Metric Allen Key Set, 1.5-10MM, Anti-Slip Long Ball End Hex Wrench Set, Color Coding Hex Key Set for Disassembling Mechanical Equipment, Vehicle, and Bicycle Repairs",$8.49,"$1,820",,564,4.7,FBA,7,No
B0DJNF75BX,"ELEAD Hex Key Allen Wrench Set: 41-Piece Hex and Torx Key Set with Torque Handle, Standard SAE(0.028""-3/8"") & Metric(0.7mm-10mm) & Torx(T9-T50) in Storage Case, Heat Treated Chrome Vanadium Steel",$23.99,"$14,675",,444,4.5,FBA,8,No
B0DCGGKYSK,"LEXIVON Allen Wrench Set, 13-Piece Premium Metric Hex Keys, L-Shaped Long Arm Ball End Design, Industrial-Grade S2 Alloy Steel (LX-130H-MM)",$14.97,"$1,144",,123,4.8,FBA,9,No
B086XC2BYV,MULWARK 17pcs Folding Allen Wrench Set | Metric & Standard SAE - Key Tool 2 Pack Portable Hex for Basic Home Repair and General Applications,$18.99,"$4,077",,4932,4.7,FBA,10,No
