ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09YH8BK75,"Trekking Pole Tips Protectors Walking Stick Tips, Replacement Rubber Alpenstock Head Cover for Hiking Stick Walking Trekking Skiing Poles (11mm Hole Diameter)",$5.99,$76,176561,164,4.6,FBA,1,No
B099N2FJ9G,"Walking Stick Tips Rubber 4pcs Trekking Pole Tips Replacement- Rubber Feet for Hiking Poles, Walking Sticks, Trekking Poles | Rubber Tip for Walking Sticks Hiking Trekking Poles Boot Tips Rubber Feet",$6.99,"$1,194",7657,1505,4.4,FBA,2,No
B09PVBDW2Z,"8Pcs Trekking Pole Tips Replacement Protectors, Rubber Feet for Hiking Pole Tips Rubber Tips for Walking Sticks Tips Accessories, Fits Most Standard Walking Sticks Shock Absorbing(11mm Hole Diameter)",$6.49,"$1,089",7843,1192,4.6,FBA,3,No
B098SGK7XJ,"Trekking Pole Accessories Extra Thick and Wear Resisting Rubber Tips Snow Support Mud Support for Hiking Poles for All Common Trekking Poles, Hiking Sticks, Nordic Walking Poles with a Inner Diameter of 11mm/0.43""",$11.99,$539,15635,620,4.6,FBA,4,No
B019ZRS9B0,6 Pcs Hiking Pole Tips Hiking Accessories - Cane Rubber Tips Replacement Hiking Stick Grip Replacement Walking Cane Tips Hiking Poles for Hiking Gear - Camping Accessories Hiking Sticks Trekking Poles,$6.95,$940,8705,2100,4.5,FBA,5,No
B0DMF6Q2SY,Durable Replacement Rubber Tips for Trekking Poles - Universal Anti-Slip Hiking Stick Caps - Shock Absorbing Pole Accessories - Fits 11mm Standard Poles - Set of 6,$6.19,$889,12376,230,4.7,FBA,6,No
B0FHD51T23,"12Pcs Replacement Trekking Pole Tips & Rubber Cane Tips, Compatible with Black Diamond, Durable Hiking Stick Accessories for Most Walking Poles, Ideal for Hiking, Trekking, Camping, Mountaineering",$12.99,$40,170982,6,5,FBA,7,No
B0FKY9TPWM,"6-Pack Heavy Duty Walking Stick Tips - Reinforced Rubber Ferrules for Trekking Poles, Hiking Sticks & Canes - Universal Fit Non-Slip Replacement Caps",$6.59,$198,95428,31,4.3,FBA,8,No
B0DM6L12GF,"6Pcs/8Pcs Trekking Pole Tips Replacement - Rubber Feet for Hiking Poles Tips, Walking Sticks Tips Accessories, Fits Most Standard Trekking Poles, Walking Sticks Shock Absorbing(11mm Hole Diameter)",$3.79,$19,200853,36,4.2,FBA,9,No
B0F6V3Y7D4,"8Pcs Walking Stick Tips, Trekking Pole Tip, Walking Cane Tips Replacement Rubber Tips, Hiking Stick Accessory, Fits Most Standard Hiking Pole (11mm Hole Diameter).",$5.15,$77,85313,17,4.4,FBA,10,No
