ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07MJCNCPJ,"Allen Company Vanish Stretch Fit Camouflage Balaclava, Camo Hunting Face Cover",$26.52,$876,168204,1798,4.6,FBA,1,No
B0BDRHHLQW,Balaclava Ski Mask Hunting Face Mask for Men and Women Camo Balaclava Face Mask for Cold Weather,$6.99,$32,555129,133,4.3,FBA,2,No
B07TH6TXSW,Balaclava Face Mask Sun UV Protection Breathable Full Head Mask for Men Women Skiing Cycling,$16.99,"$4,592",7557,5566,4.4,FBA,3,No
B0779P23L8,Balaclava Ski Mask 3 Pieces Full Face Cover for Men and Women Breathable Full Face Mask for Skiing Outdoor Sports,$18.99,"$2,944",25057,3849,4.5,FBA,4,No
B0GV46NSBP,"2 Pack UV Balaclava with Glasses Holes, Summer Cooling Ice Silk Breathable Full Face Mask for Motorcycle Cycling",$19.99,$221,116429,0,4.9,FBA,5,No
B0F4N6Q4C1,"ScentLok Lightweight Headcover, Camo Balaclava Face Mask for Hunting, Camping, and Outdoor Use, One Size (Realtree APX)",$39.99,$4,491049,6,5,FBA,6,No
B0BCCQ11YM,North Mountain Gear Stretch Fit Balaclava,$21.99,$892,86571,493,4.7,FBA,7,No
B08P3YFGL8,"ScentLok Lightweight Ultimate Headcover, Camo Balaclava Face Mask for Hunting, Camping, and Outdoor Use, One Size",$44.00,$5,417025,246,4.6,FBA,8,No
B08P3XV4CG,"ScentLok Midweight Headcover, Camo Balaclava Face Mask for Hunting, Camping, and Outdoor Use, One Size",$35.44,$11,173354,260,4.5,FBA,9,No
B0B831JBF7,"ScentLok Lightweight Headcover, Camo Balaclava Face Mask for Hunting, Camping, and Outdoor Use, One Size",$24.99,$2,358850,332,4.5,FBA,10,No
