ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07VDMZP65,"Gel Soft Flexible Ice Pack for Injuries Reusable - (Large: 11""x14.5"") for Hip, Shoulder, Knee, Back - Comfy Cold Pack Compress for Swelling, Bruises, Surgery",$18.95,$889,4373,44639,4.7,FBA,1,No
B0FCM8J8BN,"RelaxCoo Large Flexible Ice Pack for Injuries Reusable Gel, 11x14.5 Inches, Cold Compress for Hip, Shoulder, Knee, Back Pain, Swelling, Bruises, Surgery",$9.99,"$6,414",6396,560,4.6,FBA,2,No
B0BDQPPNSQ,"Glacial Comfort Large Gel Ice Pack for Injuries Reusable - (15"" x 11"") Cold Pads for Back Pain, Hip, Knee, Shoulder, Muscle Strains, Migraine & Postpartum Recovery, Flex Technology - Compression Pad.",$18.99,"$1,314",30732,2802,4.6,FBA,3,No
B01GWLOHIG,"Koo-Care Large Flexible Gel Ice Pack & Wrap with Straps for Hot Cold Therapy - Pain Relief for Shoulder Rotator Cuff, Back, Hip, Knee Replacement Surgery, Shin Splint Injuries Reusable - 11"" x 14""",$17.50,$725,37998,9267,4.5,FBA,4,No
B01LXM8W8T,"Perfect Remedy 2-Pack Gel Ice Packs for Injuries Reusable, Hot & Cold Pack that’s Durable, Soft & Flexible, Fast Relief & Recovery (Blue, Reg 2PK)",$16.09,"$11,667",2515,24283,4.6,FBA,5,No
B0091IOISW,"FlexiKold Gel Ice Packs (Standard Large: 10.5"" x 14.5"") for Injuries Reusable, Back Pain Relief, Knee Wrap, After Surgery, Ice Pack for Knee, Shoulder - 6300-COLD by NatraCure",$17.99,"$35,725",568,67089,4.7,FBA,6,No
B076PG75QJ,"2 FlexiKold Gel Ice Packs (Standard Large: 10.5"" x 14.5"") - Reusable Cold Pack for Injuries, for Back Pain Relief, Migraine Relief Pad, After Surgery, Postpartum, Headache, Shoulder - 6300-COLD 2PK",$31.99,"$35,725",601,67089,4.7,FBA,7,No
B0D4LHV12K,"AiricePac Extra Large Gel Flexible Back Ice Packs for Injuries Reusable, 11”x 20” Cold Pack Wrap for Knee Leg Neck Shoulder Hip Back Pain Relief, Cold Compress Therapy for Swelling, Bruises, Surgery",$18.99,"$4,898",10408,2867,4.5,FBA,8,No
B09T9WXBPB,"Extra Large Gel Ice Pack for Injuries – Reusable Hot & Cold Compress for Back, Shoulder, Knee & Neck Pain Relief, Long-Lasting Cold, Flexible Therapy Pack, Post-Surgery Recovery, 12.4"" x 8.3""",$15.18,"$1,251",30347,1624,4.7,FBA,9,No
B0G1NJBNY8,"Pelegon Ice Packs for Injuries Reusable L (8"" x 12"") Ice Pack for Knee, Reusable Gel Ice Pack for Back, Large Flexible Cold Pack for Shoulder, Hip & Neck, Soft Fabric Side, Leakproof Design - 2 Pack",$29.97,$737,30906,32,4.6,FBA,10,No
