ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09P88SVSR,"Ice Roller for Face and Eye, Ice Face Roller, Ice Roller Skin Care Tools Gifts for Women , Preppy Cute Silicone Ice Mold Stuff for Beauty(Black)",$5.99,"$6,744",3922,6617,4.4,FBA,1,No
B0CP39FLF2,"Fronnor Ice Roller for Face,Eyes,Facial Massager Tool,Soothing Skin Care Tool,Cooling Skincare Device for Puffiness,At-Home Spa Gift for Women",$7.98,"$8,269",3424,4027,4.7,FBA,2,No
B01E8IZ4ZA,"ESARORA Ice Roller for Face & Eye, Puffiness, Migraine, Pain Relief and Minor Injury, Skin Care Products",$18.99,"$3,769",8949,22837,4.6,FBA,3,No
B0C69YLVYK,"Skin Gym Ice Roller for Face – Facial Depuffing & Cooling Skin, Cold Face Roller to Minimize Pores & Soothe Skin, Reusable Cryo for Glowing Complexion",$18.00,$344,67208,135,4.4,FBA,4,No
B0CXY41NFS,"SKIN GYM Ice Roller for Face, CryoGel Cooling Facial Roller for Puffiness, Redness, Skin Firming & Depuffing, Cryotherapy Skin Care Tool",$18.00,$143,104205,3,4.6,FBA,5,No
B0FK5DYWHB,SWOSH Premium Silicone Ice Roller for Face & Eye – Compact Cooling Gel Tool with Soft Silicone Mould – Reusable & BPA‑Free – Sleek Handle – 1 Unit – Made in India,$7.00,,1316904,1,4,FBA,6,No
B09P88YNZZ,"Ice Roller for Face and Eye, Ice Face Roller, Aesthetic Skin Care Tools Gifts for Women Cute Preppy Stuff,Silicone Ice Mold for Beauty(Pink)",$5.99,"$6,744",3922,6617,4.4,FBA,7,No
B0DS58471Z,3 Pcs Facial Ice Roller Silicone Mold Reusable for Face Women and Eye Neck Cold Skin Care Tools Freezer De Puff Eye Bags Reduce Migraine Pain Pink 1 + Purple 2,$7.99,$152,82805,159,4.4,FBA,8,No
B0DFTYRWF8,"ARSA Pack of 3 - Ice Roller for Face, Eyes, Body Massage. Natural Cold Therapy to Eliminate Puffiness, Dark Circles, Wrinkle. Promotes Blood Circulation for Glowing, Soft (Pink, Purple & Blue)",$9.99,$231,85085,44,4.2,FBA,9,No
B0F87MDT1M,"Ice Cube Roller for Face,Eyes and Neck,Reusable Silicone Ice Mold Mermaid Shell Shape for Shrink Pores Anti Wrinkle and Skin Beauty Care,Reduce Migraine Pain,Gua Sha Face Massage Tools (Pink)",$4.99,$147,52773,11,4.2,FBA,10,No
