ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D9J3TKB6,"Clear Ice Cube Maker, 2.5 Inch Stainless Steel Crystal Large Clear Ice Ball Maker, Silicone Ice Cube Mold for Cocktails, Drinks & Bourbon, Whiskey Gifts for Men (2 Pack)",$21.99,$938,12644,416,4.4,FBA,1,No
B0CN3BN1NP,"Clear Ice Ball Maker for Whiskey: 2.5"" Crystal Clear Ice Maker - Large Ice Sphere Maker for Bourbon & Cocktails - Easy Release Silicone Ice Cube Maker for Home Bar",$13.39,$461,24974,480,4.5,FBA,2,No
B0DB1RHYV8,"Clear Ice Cube Maker, 2.5"" Stainless Steel Ice Ball Maker Mold for Whiskey & Cocktails, Non-BPA Premium Silicone Ice Cube Molds, Easy-Release Sphere Ice Maker, Bourbon Gifts for Men (2 PACK)",$39.99,"$2,213",6048,768,4.4,FBA,3,No
B0D9H8F2VK,"Clear Ice Cube Maker - 2.5"" Ball - Stainless Steel Clear Ice Maker - Compact Design - for Whiskey, Cocktails, Bourbon - 2 PACK with Ice Tong & Ice Box",$34.99,"$1,168",14238,482,4.4,FBA,4,No
B0DDMVSZHS,Ice Cube Molds – Large Silicone Ice & Sphere Mold Combo with Built-In Easy-Fill Funnel 2-Inch Round & Square Whiskey Ice Molds for Cocktails & Bourbon,$14.99,$787,19640,5878,4.5,FBA,5,No
B0DRYQX8FC,"Mooues Clear Ice Cube Maker, 8 Large Whiskey Ice Cubes Mold, 2 Inch Silicone Ice Cube Tray, Easy-Release Sphere Ice Maker,Bourbon Gifts For Men Dad Boyfriend Boss Who Have Everything",$51.43,$288,25134,214,4.4,FBA,6,No
B0CFYH1PVG,Clear Ice Ball Maker for Whiskey: FDDBI Circle Ice Cube Tray Make 2Inch Ice Sphere - Clear Ice Cube Maker for Old Fashioned Bourbon Whisky,$54.99,"$1,408",8540,692,4.3,FBA,7,No
B0BGQR3X35,"Better Kitchen Products Crystal-Clear Ice Ball Maker, 2-Cavity Mold, Large Ice Sphere Trays, Jumbo 2.4 Inch Ice Balls",$28.99,$18,256607,150,4.5,FBA,8,No
B092R2KRXD,"Berlinzo Premium Clear Ice Ball Maker Mold - 4 Large 2.4"" Crystal Clear Ice Balls for Whiskey, Cocktails & Bourbon - Easy-to-Remove Mold for Ice Spheres - XL Storage Bag Included (Non-Electric)",$59.80,"$1,324",8086,3212,4.4,FBA,9,No
B0BG2PKRPV,"Clear Ice Ball Maker Tray - 2 Inch Ice Cube Maker Mold,4 Cavity Large Clear Ice Ball Silicone Tray, Crystal Clear Ice Sphere Maker Mold for Whiskey and Cocktail",$37.99,$17,286473,225,4,FBA,10,No
