ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GGZCL9KX,"Pool Floats Adult, 3Pack/2Pack/1Pack Adjustable Heavy Duty Inflatable Pool Floats Chair, Portable Pool Float Lounger for Adults & Kids, Pool Floaties for Summer Pool Beach Lake Party Fun",$37.99,"$2,836",207,34,4.8,FBA,1,No
B0GYXPHWJJ,"Inflatable Pool Float Chair, Blow Up Float for Adults Heavy Duty with Seat and Backrest, Floating Lounge Chair for Water, Beach, Lake, Comfortable Floaties for Summer Party (Blue+Green)",$19.99,,25009,1,5,FBA,2,No
B0GYPH6S4D,"4-in-1 Inflatable Water Hammock Swimming Pool Floats with Air Pump, Inflatable Pool Lounge Chair, Heavy Duty Water Lounger Raft, Portable Foldable Float for Lake Beach Summer",$19.68,,,0,,FBA,3,No
B0GJZ77J6B,"COOLWAVE Inflatable XL Floating Pool Chair, Heavy Duty PVC Floating Lounge Chair, 39"" x 38"" Connectable Pool Floats Adult with Built-in Cup Holders for Ocean, Lake and Pool, Multiple Color Options",$94.99,$66,64311,8,5,FBA,4,No
B0DJ278M42,"2-Pack Swimming Pool Float Hammock, Multi-Purpose Inflatable Hammock Pool Hammock (Saddle, Lounge Chair, Hammock, Drifter), Water Hammock Lounge",$15.99,"$3,522",1568,3278,4.4,FBA,5,No
B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",$31.99,"$22,637",25,4767,4.2,FBA,6,No
B0D3KZRVWB,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",$39.99,"$22,044",14,4769,4.2,FBA,7,No
B0GZFF76HS,"Inflatable Pool Floats for Adults ，2 Pack Floating Lounge Chair & Pool Noodle, Thickened Durable Design with Air Pump, Ideal for Summer Pool Parties, Beach & Lake Relaxation",$28.99,"$1,034",6406,18,5,FBA,8,No
B0FL7VKN4C,"Funscape Pool Floats Chairs Adult, 2 Packs Heavy Duty Inflatable Swimming Pool Lounges, Fabric Floating Hammock Seat, Kid Blow Pool Noodle Lake Raft Floaties, Fun Summer Beach Water Party Game-Stripe",$25.49,"$1,591",3734,55,4.4,FBA,9,No
B0G9LYR2PS,"2 Pack Pool Floats for Adults, 4-in-1 Inflatable Pool Hammock Float with Cooling Mesh Seat, Portable Water Hammock Floating Chair Lounge for Pool, Beach, Lake, Hot Tub & Summer Pool Party",$19.99,$865,2610,11,4.4,FBA,10,No
