ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B09VTDW2FC,"Stonful 2 Pack Inflatable Pool Float Mat, Giant Pool Floats Adult Size with Headrest, Lake Float Raft Water Lounger, Multi-Purpose Swimming Pool Floats for Pool Party, Summertime Beach, Outdoor",$23.98,"$4,146",265,2183,4.5,FBA,1,No
B0GYPH6S4D,"4-in-1 Inflatable Water Hammock Swimming Pool Floats with Air Pump, Inflatable Pool Lounge Chair, Heavy Duty Water Lounger Raft, Portable Foldable Float for Lake Beach Summer",$19.68,,,0,,FBA,2,No
B0G1YKG7VF,"Inflatable Tanning Pool Lounger Float with Sprinkler, Pool Float Adult with Pillow & Cup Holder, Sunbathing Blow Up Tanning Bed, Suntan Tub Raft Floatie for Backyard Summer Water Party Extra-Large",$26.99,"$1,481",5529,163,4.4,FBA,3,No
B0GGZCL9KX,"Pool Floats Adult, 3Pack/2Pack/1Pack Adjustable Heavy Duty Inflatable Pool Floats Chair, Portable Pool Float Lounger for Adults & Kids, Pool Floaties for Summer Pool Beach Lake Party Fun",$37.99,"$2,836",207,34,4.8,FBA,4,No
B09S2GGCD9,"FUNBOY Clear Inflatable Mesh Pool Lounger Mesh Water Hammock with Built-in Pillow 70"" Pool Hammock Float for Adults Swimming Pool Accessories & Tanning Pool Lounger Float for Pool Party & Summer",$33.92,"$1,177",8056,459,3.6,FBA,5,No
B0DSHNJS9Z,"Pool Floats Adult,76"" x 48"" XL Inflatable Tanning Pool Lounger Float with Pillow,4 in 1 Suntan Tub Sunbathing Raft Floatie Water-Filled Mattress Kids Pool Ball Pit,Perfect for Lake River Party & Relax",$29.99,"$2,014",3943,476,4.4,FBA,6,No
B004CLZRI8,"INTEX 59895EP 18-Pocket Suntanner Inflatable Pool Float Raft Lounger Swimming Mat, 74"" X 28"", 1 Pack, Colors May Vary",$14.99,$780,,6725,4.2,FBA,7,No
B00AY2KDS8,"Intex King Kool Inflatable Lounge, 63"" X 33.5"", 1 Pack (Colors May Vary)",$25.40,$264,17177,15970,4.5,FBA,8,No
B09NSJQ2YJ,"FindUWill Inflatable Pool Floats Adult, 2 Pack Large Pool Float Raft with Headrest for Adults, Tanning Pool Lounger Cooling Pool Floaties for Vacation",$23.99,"$1,221",10089,1744,4.2,FBA,9,No
B0BRNJSSV7,Jasonwell Inflatable Pool Float Adult - Pool Floaties Lounger Floats Floating Chair Raft with Adjustable Backrest Cup Holders Water Floaty Lake Lounge Tanning Floats Beach Party Toys for Adults,$19.98,"$5,065",594,1997,4.4,FBA,10,No
