ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DJQQWB6P,"TransOurDream Heat Transfer Paper for Dark Polyester Fabrics (Dark X, 8.5""x11"", 20 Sheets) Printable Iron on Heat Transfer Vinyl for Inkjet Printer",$24.99,"$14,884",107,52,4.2,FBA,1,No
B0CWMZ49PK,"TransOurDream Dark Heat Transfer Paper for T Shirts (10 Sheets, 11x17"") Printable HTV Heat Transfer Vinyl for Inkjet Printer Iron on Transfers for Dark Fabrics",$19.99,"$1,249",3766,313,4.4,FBA,2,No
B08W97SRKH,"TransOurDream Tru-Heat Transfer Paper for Inkjet & Laserjet Printer (20 Sheets, 8.5x11"", Dark 3.0) Printable HTV Heat Transfer Vinyl for T Shirts Iron on Transfers for Dark Fabrics (TRANS-D3-20)",$24.85,"$4,499",681,2625,4.4,FBA,3,No
B08YDMT7D5,"TransOurDream Iron on Heat Transfer Paper for Heat Press (25 Sheets, 8.5x11, Dark 6.0) Printable HTV Heat Transfer Vinyl for T Shirts,Inkjet Printer (TRANS-D6-20)",$21.99,$729,10516,764,4.4,FBA,4,No
B000W4DR3G,"PPD 20 Sheets 8.5x11"" - Inkjet Iron-on Heat Transfer Paper for Black & Dark Fabric and T-Shirts - Premium - PPD-4-20",$11.89,"$3,094",1302,15832,4.5,FBA,5,No
B08GLNXS4D,"TransOurDream Heat Transfer Paper for Dark T Shirts(20 Sheets, 8.5x11),Printable HTV Heat Transfer Vinyl for Inkjet Printers",$15.87,"$14,376",106,6155,4.4,FBA,6,No
B0000C0CIR,"Avery Printable Heat Transfer Paper for Dark Fabrics, 8.5"" x 11"", Inkjet Printer Compatible, 5 Sheets of Iron On Transfer Paper, Great for Custom Shirts, Uniforms, Gifts, and More (3279)",$14.05,"$1,480",5205,14137,4.6,FBA,7,No
B08PBKVVDV,"HTVRONT Heat Transfer Paper for T Shirts 20 Sheets, 8.5"" X 11"" Printable Heat Transfer Vinyl, Vivid Color & Durable Iron on Transfer Paper for Dark Fabric",$14.58,"$4,087",807,8070,4.4,FBA,8,No
B000W4KV2G,"PPD 10 Sheets 8.5x11"" - Inkjet Iron-on Heat Transfer Paper for Black & Dark Fabric and T-Shirts - Premium - PPD-4-10",$8.49,"$3,094",1302,28672,4.4,FBA,9,No
B0CB5QYRG7,"TransOurDream Heat Transfer Paper for Dark and Light T Shirts (5+5 Sheets, 8.5x11, Mix Pack) Iron on Transfers for Dark & Light Fabrics Printable HTV Heat Transfer Vinyl for Inkjet Printers",$9.99,"$3,656",887,299,4.5,FBA,10,No
