ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D9BG76C8,"AUVON Insulin Cooler Travel Case Keeps Insulin Cool up to 44H for 3–5 Pens, Gel Ice Pack & Pouch Protect Medication from Freezing, Diabetes Travel Case with Handle & Medical ID Tag, TSA Approved",$26.99,"$2,050",14989,539,4.7,FBA,1,No
B08SR294KM,"4ALLFAMILY Nomad Insulin Travel Case Cooler – 48H Non-Electric Insulin Cooler Travel Case TSA Approved with Lightweight Design – Air Traveling Friendly, Reusable Medium Blue Thermo for Medications",$39.99,"$5,939",7101,3196,4.6,FBA,2,No
B0D2W58WMD,"YOUSHARES Insulin Cooler Travel Case with Temperature Display - Refrigerated Medicine Cooling Bag with 2 TSA Approved Ice Pack, Medication Pen Diabetic Supplies Organizer for Trip and Daily",$14.99,"$15,085",3081,4094,4.3,FBA,3,No
B07H85LFLD,DISONCARE Odyssey 60H 3 Insulin Pens Cooler Travel Case Medication Cooler for Travel TSA Approved Diabetic Insulina EpiPen Carry Case Medicine Bag Ice Pack with Medical Alert Tag(Blue),$25.99,"$4,396",11305,3553,4.4,FBA,4,No
B0D2W35PP8,"suzamed Insulin Cooler Travel Case,EVA Insulation Travel Medicine Kit with 2 Ice Packs for Diabetes Care,Insulin Pen and Other Diabetic Supplies (Purple)",$8.99,"$21,310",1858,2320,4.6,FBA,5,No
B0BW96BB54,"AUVON Insulin Cooler Travel Case with 4 × 160g Ice Packs for Longer Cooling Effect, TSA-Approved Medication Cooler Bag for 8 Insulin Pens & Diabetic Supplies, Portable Handle for Diabetic Travelers",$26.99,"$2,129",14472,719,4.8,FBA,6,No
B0D7HDHP7W,"YOUSHARES Insulin Cooler Travel Case - 48H Non-Electric Cooling Bottle with TSA Approved Ice Pack, Diabetic Medication Pen Vials Refrigerator, Medical Carry Case Portable for GLP-1 Pens",$19.99,$463,34262,161,4.5,FBA,7,No
B0FB8MDXG1,"Insulin Cooler Travel Case TSA Approved – 60H Insulin Pen Cooler for 2-3 Pens – Medication Travel Case with Cold Gel Bottle, Ideal for Diabetes Care & Injection Storage (Blue)",$25.99,$328,65924,159,4.5,FBA,8,No
B0CZ93YW2S,"AUVON Insulin Pen Cooler Travel Case with 2 * 90g TSA Approved Ice Packs, Diabetic Medication Insulated Cooling Bag for Insulin Pens and Diabetic Supplies Storage, Compact for Daily Life and Trips",$8.99,"$19,887",1415,3353,4.6,FBA,9,No
B0DRFQB8ZZ,DISONCARE Holiday Insulin Cooler Travel Case 16H 1 Pen Medicine Cooler for Travel TSA Approved Diabetic Insulina EpiPen Carry Case with Medical Alert Tag（Gray）,$25.99,$597,46140,984,4.4,FBA,10,No
