ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FF8Z34D8,JODSONE 32 Colors Jelly Gel Nail Polish Kit with U V Light Crystal Transparent Classic Color 4 Functional Gel for All Seasons,$26.99,"$36,419",1424,30934,4.3,FBA,1,No
B0962K73ZW,"Dazzle Dry Mini Kit 4 Step System - Prima Ballerina, a sheer and milky delicate pink that makes a beautiful French base. (5 Piece Kit / 5 Manicures)",$39.00,"$10,511",2394,2800,4,FBA,2,No
B0GD6YW1SS,JODSONE 36Pcs Jelly Gel Nail Polish Kit with 4 Functional Gel for All Seasons,$29.98,"$36,419",1162,30934,4.3,FBA,3,No
B0FBBP4FTZ,"Olive & June Gel Mani System Set | Includes Nail Tools, Peel-Off & Gel Base Coats, Top Coat, LED Lamp, Cuticle Serum & The Poppy | Easy At-Home Mani Kit | 15-Free, Vegan, Cruelty-Free",$85.00,$464,35729,138,3.8,FBA,4,No
B0BVXV3XM8,"Dazzle Dry Complete Starter Mini Kit | Step 1 - Nail Prep, Step 2 - Base Coat, Step 4 - Top Coat, Transform - Ridge Filler & Revive - Polish & Top Coat Thinner.",$42.00,"$3,323",11931,508,4.2,FBA,5,No
B08JLP7GLS,"Beetles Gel Nail Polish Kit with U V LED Light - 6 Colors Jelly Milky White Sheer Pink Nude Gel Polish Starter Kit Manicure,Soak Off U V Nail Polish Set Salon DIY",$31.99,$667,39400,19751,4.3,FBA,6,No
B07W8CG63T,"Vishine UV LED Nail Lamp Gel Nail Polish Kit, 36Pcs Jelly Translucent Natural Color Gel Base and Matte & Glossy Top Coat Soak Off DIY Art Manicure All-In-One Nail gel Kit",$29.99,$27,179766,949,4.4,FBA,7,No
B0CL4RWBYR,Beetles Gel Nail Polish Kit with U V Light - 80Pcs Color Enchantment 55 Colors Gel Polish Starter Kit with Base Top Coat DIY Nails Supply Stickers Manicure Tools Home Salon Gift for Women,$26.99,"$40,925",436,24674,4.3,FBA,8,No
B097BSKN9P,JODSONE Gel Nail Polish Kit with U V Light 32 Colors Gel Polish Nail + 4 Functional Adhesive Bottles Kit Soak Off Manicure Tools Gifts for Women,$21.91,"$36,419",1278,30933,4.3,FBA,9,No
B0CMHVDZXQ,JODSONE 20 Colors Gel Nail Polish Kit with U V Light Base Top Matte Coat High Shine Vibrant Nail Gel Equipped with Manicure Tools,$15.98,,,30972,4.3,FBA,10,No
