ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08RB46DBY,"Redify Weighted Jump Rope for Workout Fitness(1LB), Tangle-Free Ball Bearing Rapid Speed Skipping Rope for MMA Boxing Weight-loss,Aluminum Handle Adjustable Length 9MM Fabric Cotton+9MM Solid PVC Rope",$25.98,"$5,099",931,3513,4.5,FBA,1,No
B09DF9NWC7,"Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men & Kids, Adjustable Steel Jump Rope with Foam Handles for Home Gym Exercise Fitness Workout Equipment & Slim Body",$8.99,"$41,086",22,24350,4.5,FBA,2,No
B0CCV3VFGY,2-in-1 Speed Rope: 2mm for Boxing/MMA & 3mm for CrossFit - Tool-Free Adjustable Cable System with Dual Bearings - Sweatproof Hybrid Grip for High-Intensity Training,$22.00,$381,29119,291,4.4,FBA,3,No
B08JHZN3BZ,"FEECCO 1/2 lb Weighted Jump Rope for Boxing, Cardio, Crossfit Workout, 8~11ft Range Adjustable Length Steel Ropes with Ball Bearings and Metal Handles, Suitable for Men and Women",$19.99,$751,15640,373,4.4,FBA,4,No
B08PVWTC9M,PrimaFIT Jump Rope Pro Speed Skipping Rope Adjustable Adult Jumping Rope Weighted Aluminium Handles for Double Dutch Boxing Workout Crossfit Exercise Fitness Spare Cable Weights Protectors Carry Bag,$24.99,$141,61385,2235,4.4,FBA,5,No
B07FCM21ZM,"WOD Nation Weighted Jump Rope for Women & Men - 1 Pound (1LB) Adjustable Heavy Speed Jump Rope Handles with Removable Weights 4Crossfit, Cross Training, Boxing.",$16.49,$121,74451,1156,4.4,FBA,6,No
B01K8ZDYRM,"Weighted Jump Rope (1LB) With Memory Foam Handles and Thick Speed Cable - For fitness workouts at home, cardio, boxing and MMA, CrossFit, endurance training, Jumping Exercise. PULSE ATHLETICS.",$24.99,$18,274197,2319,4.5,FBA,7,No
B0CRDF9DJZ,"Weighted Jump Rope for Men Women -Interchangeable 1/5lb 1/4lb 1/2lb Heavy jump ropes - 360 Degree Spin - Length Adjustable,Ergonomics Leather Grip Skipping Rope for Fitness Weight Loss & More",$59.00,$868,11805,358,4.6,FBA,8,No
B0CHM59376,"Jump Rope, HANDIO jump ropes 1/2 lb Weighted Jump Rope for Boxing, Cardio, Crossfit Workout, 8~10ft Range Adjustable Length Steel Ropes with Ball Bearings and Metal Handles, Jumpropes Suitable for Men",$13.99,$695,21969,172,4.4,FBA,9,No
B09YY4PMK6,"Jump Rope for Fitness, Adjustable Speed Jump Rope with Ball Bearings, Tangle-Free Skipping Rope for Women Men Kids, Durable Steel Cable with Soft Foam Handles for Cardio Workout, Weight Loss & Home Gym Exercise",$4.99,$46,141801,122,4.5,FBA,10,No
