ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08LMXMBZ6,ISURE MARINE Kayak Canoe Anchor Trolley Kit Eyes Wellnuts Screws Kayak Accessories Zig Zag Cleat Rigging Ring Pulleys DIY Boat 30 Feet Rope,$16.19,$25,89006,268,4.5,FBA,1,No
B093GRHFP2,"XIALUO Marine Kayak Anchor Kits 7 lb Folding Anchor Accessories with 50 ft Rope for Fishing Kayaks, Canoe, Jet Ski, SUP Paddle Board and Small Boats",$42.99,$29,79586,147,4.5,FBA,2,No
B09TVTRP3S,"Kayak Anchor Trolley Kit Anchor Wizard Kayak LeverLock Anchor Trolley,Anchor System for Kayak Canoes Boat etc,Rope Cleat carabiner Pulley Anchor Ring Pad Eyes 30 Feet paracord,With Bolts Screws Rivets",$27.99,$130,68041,133,4.7,FBA,3,No
B01CQBSTQC,YakAttack LeverLoc Anchor Trolley Kit | Kayak Anchor System with Stealth Pulleys & PadHooks | Includes Reflective 35' Paracord & Mounting Hardware | Easy Install | Made in USA,$44.99,$71,51190,784,4.7,FBA,4,No
B0C682RFYH,"Kayak Anchor Trolley Kit, Anchor Trolley System for Kayak Canoe",$39.99,$120,86886,128,4.6,FBA,5,No
B0C6XCRPZC,"Kayak Anchor Trolley Kit, Anchor Trolley System for Kayak Canoe",$35.99,$120,86876,128,4.6,FBA,6,No
B0CQR51R9M,2005 Kayak Anchor Trolley Kit Mounting Hardware for Kayak Canoe Boats Water Sports,$16.99,$53,64420,30,4.5,FBA,7,No
B009DGWJOC,H2o Kayak Canoe Anchor Trolley Kit,$26.35,$18,132386,1156,4.6,FBA,8,No
B0CWTNYGHT,"Kayak Canoe Anchor Trolley Kit with 33ft Reflective Rope, Kayak Anchor Trolley System Kit, Anchor Trolley Kit with Zig Zag Cleat,Pulleys,Pad Eyes,Snap Hooks,Rigging O Ringand Mounting Hardware",$19.99,$18,210996,17,4.6,FBA,9,No
B016LF5CI2,YakAttack Kayak LeverLock Deluxe Anchor Trolley AMS-1003,$28.99,$95,90843,762,4.7,FBA,10,No
