ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F8J8MDM6,"SESENSE Detachable Magnetic Case for 7'' Kindle Paperwhite 12th Gen 2024 and Kindle Colorsoft Signature Edition, Slim PU Shell Cover Case with Auto Wake/Sleep, Pink",$15.94,"$8,603",12,577,4.6,FBA,1,No
B0FLY42HT3,"MoKo Detachable Magnetic Case for All-New 7"" Kindle Paperwhite 12th Generation 2024 & Kindle Colorsoft 2024/2025,Ultra Clear Back Scratch-Proof Light & Shell Cover with Auto Wake/Sleep, Jade Green",$14.24,"$3,586",21,691,4.7,FBA,2,No
B0FKN7471K,"MoKo 360° Rotating Case for 7"" Kindle Paperwhite 12th Generation 2024 & Kindle Colorsoft 2024/2025, Clear Back Detachable Magnetic Protective Adjustable Stand Cover with Auto Wake/Sleep, Raspberry",$16.99,"$2,368",33,434,4.4,FBA,3,No
B0CM82H71F,"Amazon Plant-Based Leather Case- Lightweight, Protective Cover Designed with Sustainability in Mind for Kindle Paperwhite and Kindle Colorsoft",$42.99,"$15,302",32,0,4.7,FBA,4,No
B0DKFFLH8X,"MoKo Case for All-new 7""Kindle Paperwhite 12th Generation 2024&Kindle Colorsoft Signature Edition 2024,Lightweight PU Protective Shell Cover with Auto Wake/Sleep for Kindle Paperwhite 2024,Gray Forest",$9.99,"$8,403",20,12401,4.7,FBA,5,No
B0DPWVRWLM,"CoBak Magnetic Clear Case for 7"" Kindle Paperwhite 12th Gen 2024 and Kindle Colorsoft - Compatible with iPhone MagSafe, for PopSockets Grips, for Belkin/Anker Wireless Charging Pads and Magnetic Stand",$15.99,"$12,158",5,155,4.6,FBA,6,No
B0F8J6253Z,"SESENSE Detachable Magnetic Case for 7'' Kindle Paperwhite 12th Gen 2024 and Kindle Colorsoft Signature Edition, Slim PU Shell Cover Case with Auto Wake/Sleep, Black",$15.94,"$8,603",12,577,4.6,FBA,7,No
B0FGJFMJPR,"Magnetic Detachable 2-in-1 Stand Case for 7'' Kindle Paperwhite 12th Gen 2024 and Kindle Colorsoft Signature Edition, Slim PU Shell Cover Case with Auto Wake/Sleep, Light Purple",$22.99,$389,280,53,3.8,FBA,8,No
B0FR9353XL,"Magnetic Detachable Book Cover Case for 7"" Kindle Paperwhite 12th Gen 2024 and Kindle Colorsoft Signature Edition, Slim PU Leather Case with Auto Wake/Sleep (Ornate Green)",$22.99,"$1,111",82,94,4.8,FBA,9,No
B0F8J4C5ZD,"SESENSE Detachable Magnetic Case for 7'' Kindle Paperwhite 12th Gen 2024 and Kindle Colorsoft Signature Edition, Slim PU Shell Cover Case with Auto Wake/Sleep, Lavender Purple",$15.98,"$8,603",14,577,4.6,FBA,10,No
