ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FDNNDR4D,"New Amazon Kindle Scribe Folio Cover with Magnetic Attach, Designed with Sustainability in Mind, Functional & Protective Case - Plant-Based Leather",$89.99,"$4,151",218,0,4,FBA,1,No
B0FDNP9LXW,"Introducing All-New Amazon Kindle Scribe Executive Folio Cover with Magnetic Attach, Sleek Protective Case - Premium Leather",$139.99,"$5,781",159,0,4.3,FBA,2,No
B0CRH2FX7C,"CoBak Stand Case for Kindle Scribe - Premium Folio Leather Cover with Pen Holder, Auto Sleep/Wake - Compatible with 10.2 Inch Kindle Scribe (2022/2024 Release) | Premium, Leather Cover, with Pen Holder, Auto Sleep/Wake, 2022/2024 Release",$22.99,"$6,468",26,974,4.5,FBA,3,No
B0GCGJS37F,"CoBak Premium PU Leather Case for 11"" Kindle Scribe 3rd Gen 2025, Kindle Scribe Colorsoft, TouchPad D10, Folio Cover with Pen Holder, Auto Sleep/Wake, Card Slots & File Folders, Not for Remarkable",$74.99,$294,207,73,4.6,FBA,4,No
B0DF7S7GWL,"Fintie Slim Case for Kindle Scribe - [Built-in Pen Holder] Lightweight PU Leather Folio Cover with Auto Sleep Wake for 10.2"" Kindle Scribe (2024/2022 Release), Vintage Brown",$19.19,$678,169,451,4.7,FBA,5,No
B0CRGZY5JG,"CoBak Stand Case for Kindle Scribe - Premium Folio Leather Cover with Pen Holder, Auto Sleep/Wake - Compatible with 10.2 Inch Kindle Scribe (2022/2024 Release)",$22.99,"$6,468",26,974,4.5,FBA,6,No
B0C73JB15L,"Amazon Kindle Scribe Fabric Folio Cover with Magnetic Attach, Sleek Protective Case - Black",$59.99,"$4,340",213,2820,4.4,FBA,7,No
B0G6K9G9K8,"MoKo Magnetic Case for All-New 11"" Kindle Scribe 2025(3rd Generation) & Kindle Scribe Colorsoft 2025(1st Generation) - Slim Folio Premium PU Leather Cover with Pen Clasp & Auto Sleep Wake, Black",$47.49,$157,999,152,4.6,FBA,8,No
B0F486C98K,"CoBak Premium PU Leather Case for Kindle Scribe 10.2"", TouchPad D10, Boox Note Air 3, Folio Cover with Pen Holder, Auto Sleep/Wake, Card Slots & File Folders for Business, Not for Remarkable",$74.99,$294,205,73,4.6,FBA,9,No
B0FDNCPBY9,"Introducing All-New Amazon Kindle Scribe Executive Folio Cover with Magnetic Attach, Sleek Protective Case - Premium Leather",$139.99,"$5,781",159,0,4.3,FBA,10,No
