ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DH262R4L,"Caeithyo Portable Monitor Stand & Tablet Stand Holder Adjustable, Foldable, Light-Weight, Compatible with 7 to 10.2 Inches Most Tablets, Kindle Fire and Smart Phones",$7.99,"$1,765",57,530,4.6,FBA,1,No
B07CG71KQ1,UGREEN,$7.99,"$7,231",3,54465,4.6,FBA,2,No
B09ZYNVT8X,Kemoxan,$3.98,"$2,054",2566,1946,4.3,FBA,3,No
B0DTH946PM,"Kindle Holder with Remote Page Turner, Kindle Stand for Bed Reading, No Text Blocked 6mm Clip, No Margin Adjustments, Whisper-Quiet Page Turns, Fits 4.7-10"" Devices (Paperwhite/Oasis, iPad/iPhone)",$31.99,"$1,118",5,272,4.1,FBA,4,No
B0BJVK7M72,JSAUX,$14.27,"$1,521",78,1185,4.6,FBA,5,No
B01IJ5A2UA,Amazon Basics,$8.09,"$1,637",1793,25584,4.5,FBA,6,No
B0FP9GJBMV,Lamicall,$9.97,"$3,809",4,825,4.6,FBA,7,No
B0D312MBVB,Viozon,$27.99,$947,16111,842,4.6,FBA,8,No
B0CYCCGGZS,OCYCLONE,$9.99,"$1,756",76,606,4.5,FBA,9,No
B0BTDHQJ6X,LISEN,$9.99,$946,2,11867,4.6,FBA,10,No
