ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0G5M4ZYW5,"12 Pack Precut Kinesiology Tape for Knees & Shoulder, Knee Support & Stability for Sports, Waterproof & Elastic Tape for Knee Pain Relief, Breathable Hypoallergenic & Latex-Free, Black",$19.99,"$1,330",33719,34,4,FBA,1,No
B0DJ4RWJ8Y,"PreCut Kinesiology Tape for Knees, KTQUICK 12 PCS 20% Extra Adhesive Knee Tape for Knee Pain Relief Pre Cut, Anatomical for Maximum Hold, Waterproof&Hypoallergenic Cotton Latex-Free for Sports (Black)",$14.99,"$8,694",8646,1912,3.9,FBA,2,No
B0D7PD45R7,"Precut Kinesiology Tape for Knees, 10 Pcs - Knee Support & Stability, Knee Pain Relief Athletic Tape - Waterproof & Elastic, Breathable Hypoallergenic Latex-Free Tape, Black",$19.99,"$8,892",4766,2832,3.9,FBA,3,No
B0G1T8M4SV,"20 PCS Waterproof Kinesiology Tape for Shoulders/Knees,Precut Strips for Knee Pain Relief & Stability Support, Latex-Free Hypoallergenic Sports Athletic Tape (Blue and Pink)",$9.99,"$1,322",24325,53,3.8,FBA,4,No
B0FB3SJBLR,"10 Pcs Kinesiology Tape for Knees, Knee Tape Black, precut Kinesiology Tape for Knees Hypoallergenic & Breathable & Waterproof & Comfortable, Knee Tape for Knee Pain Relief pre Cut, Adhesion 4-7 Days",$12.34,$151,113096,293,3.8,FBA,5,No
B0DRJJ6L4F,"Kinesiology Tape, 40 Count Precut Strips 2 Rolls, Original Cotton Elastic Athletic Tape for Muscle Strain Relief & Joint Support, Waterproof & Breathable Sports Tape",$9.48,"$9,706",3228,1313,4.4,FBA,6,No
B0DR8D8CJ4,"12 Count Precut Kinesiology Tape for Knees, Waterproof Knee Tape for Knee Pain Relief Pre Cut, Original Cotton Athletic Tape, Durable Knee Tape for Sports and Long-Lasting Support (Mix)",$9.49,"$1,199",34847,242,4,FBA,7,No
B0FH698BYG,"PreCut Kinesiology Tape for Knees, 12PCS Upgraded Waterproof KTQUICK Knee Tape for Knee Pain Relief Pre Cut, Original Cotton Athletic Knee Tape, Waterproof&Hypoallergenic Latex-Free for Sports (Black)",$14.98,"$4,383",13021,420,4,FBA,8,No
B0DH24439C,"PreCut Kinesiology Tape for Knees, KTQUICK 12 PCS 20% Extra Adhesive Knee Tape for Knee Pain Relief Pre Cut, Anatomical for Maximum Hold, Waterproof&Hypoallergenic Cotton Latex-Free for Sports(Beige)",$14.99,"$8,694",7145,1912,3.9,FBA,9,No
B0D9K2YBT6,"Kinesiology Tape Pro Athletic Sports (3 Rolls,60 Precut Strips) Waterproof Breathable Latex Free Tape for Ankle Wrists Knees Elastic Running Tennis Swimming Football Sports Activities Tapes Black",$15.19,"$10,375",14175,3527,4.3,FBA,10,No
