ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08JGP1WYM,"Modvel Compression Knee Brace for Women & Men, 2-Pack Knee Brace for Running Knee Pain, Knee Support Compression Sleeve, Workout Sports Knee Braces for Meniscus Tear, ACL & Arthritis Pain Relief",$24.94,"$67,377",272,77054,4.4,FBA,1,No
B07G1XMQVN,"CAMBIVO 2 Pack Knee Braces for Women & Men, Knee Compression Sleeves for Knee Pain Relief, Knee Support with Non-Slip Silicone, Breathable, for Running, Workout, Weightlifting & Daily Use, Arthritis Support (Black, Medium)",$12.34,"$12,069",3157,45276,4.4,FBA,2,No
B08GV8KK7V,"UFlex Athletics Knee Brace for Men and Women Knee Compression Sleeve Support for Arthritis Joint Pain Relief, Workout, Swelling, Sports, Circulation, Running, Recovery Support for ACL & Meniscus Tear",$14.10,"$9,790",3073,28930,4.4,FBA,3,No
B0987XL3WV,"Bodyprox Knee Compression Sleeve for Men and Women (2 Pack), Knee Support Brace for Running and Work out (Medium)",$12.99,"$27,033",1442,13399,4.5,FBA,4,No
B07B9FLTDN,"Knee Brace for Meniscus Tear 2 Pack, Knee Compression Sleeve for Men and Women, Knee Support for Arthritis, Swelling, Inflammation, ACL, Pain Relief, Running, Workout, Sports and Recovery Black L",$9.08,"$6,095",7680,16686,4.4,FBA,5,No
B08LQ3867X,"Modvel Compression Knee Brace for Women & Men, 2-Pack Knee Brace for Running Knee Pain, Knee Support Compression Sleeve, Workout Sports Knee Braces for Meniscus Tear, ACL & Arthritis Pain Relief",$24.93,"$69,242",277,77054,4.4,FBA,6,No
B07C2CFKXN,"Copper Compression Leg Compression Sleeve - Copper Infused Knee Stabilizer Brace for Running, Meniscus Tear, ACL, MCL, Arthritis, Joint Pain Relief - Thigh & Calf Support for Men & Women",$21.95,"$5,742",6340,5323,4,FBA,7,No
B079GBLMQW,"Modvel Compression Knee Brace for Women & Men, 2-Pack Knee Brace for Running Knee Pain, Knee Support Compression Sleeve, Workout Sports Knee Braces for Meniscus Tear, ACL & Arthritis Pain Relief",$24.93,"$69,242",277,77140,4.4,FBA,8,No
B08JGN8D9Q,"Modvel Compression Knee Brace for Women & Men, 2-Pack Knee Brace for Running Knee Pain, Knee Support Compression Sleeve, Workout Sports Knee Braces for Meniscus Tear, ACL & Arthritis Pain Relief",$26.93,"$67,740",277,77054,4.4,FBA,9,No
B0B4594CW8,"Modvel 2 Pack Knee Brace for Women & Men - Knee Support for Walking, Knee Compression Sleeves for Pain Relief, Knee Sleeves for Women, Knee Sleeves for Men, Knee Brace for Sports, Workouts & Arthritis",$21.93,"$4,845",5566,9840,4.4,FBA,10,No
