ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01G2RL026,"Laptop Lap Pad Laptop Stand with Attached Mouse Pad, Cushion and USB Cooling Fan, Non-Slip Heat Shield Tablet Computer Stand for Sturdy Work Station for Home, Office, Bed Sofa, Couch and Car",$54.49,$373,26027,2123,4.6,FBA,1,No
B0DFY69GFS,"Laptop Desk for Bed with Cooling Fan, SAIJI Height & Angle Adjustable Laptop Stand for Bed, Lap Desk Tray Table, Lightweight Foldable Portable Computer Table for Couch Sofa Chair Floor Desk (Black)",$39.99,$650,20202,508,4.4,FBA,2,No
B0DCZCS6G4,"EHO Portable Lap Desk with Cushion, Detachable Mouse Pad Tray and Phone Holder, Adjustable Laptop Stand with 5 Angles, for Home, Office, Sofa, Bed",$48.25,$73,72573,117,4,FBA,3,No
B014F4SBMK,"TECKNET Laptop Cooling Pad - 12""-15.6"" Laptops Cooler, Powerful Cooler and Ultra Quiet for Gaming Laptops Pad, 2 Wind Speed Adjustable, USB A & C Powered Cooler Stand with Laptop Fan LED (Blue)",$26.81,$734,531,11360,4.4,FBA,4,No
B0FRR2KLBZ,"Laptop Lap Desk with Cooling Fan - Adjustable Bed Desk with Light, Bed Table with Cup Holder&Phone Holder - Storage Drawer Desk - Folding Bed Desk,Black,70x45cm",$79.99,$208,48410,59,4.3,FBA,5,No
B0C1MVVP9H,"Lap Desk with Cushion, Fits up to 17 inch Laptop, Pillow Designed, Portable Laptop Stand with Tray, Pad & Phone Holder, Home Office for Bed/Couch/Car/Reading/Writing,MillHome (Black)",$51.99,$774,23869,573,4.7,FBA,6,No
B0FDKSFJX3,"Laptop Desk for Bed with Cooling Fan, SAIJI Height & Angle Adjustable Laptop Stand for Bed, Lap Desk Tray Table, Lightweight Foldable Portable Computer Table",$39.99,$650,19152,508,4.4,FBA,7,No
B0CZKY5LSG,"SAIJI Breathable Laptop Pillow, Ultra Lightweight Lap Desk with Cushion, Computer Pillows for Laptop with Partitioned Storage Bag, Designer Stopper - Lap Pad Fits up to 15.6 Inch Laptops",$34.99,$56,112493,97,4.4,FBA,8,No
B07W7SZJ25,"HUANUO Laptop Lap Desk - Portable Lap Desk with Pillow Cushion, Fits up to 15.6 inch Laptop, with Anti-Slip Strip & Storage Function for Home Office Students Use as Computer Laptop Stand, Book Tablet",$28.98,"$4,595",1024,15600,4.5,FBA,9,No
B07H3PN7K3,"Laptop Bed Stand – Adjustable Laptop Table with Cooling Fan, Foldable Laptop Desk with USB Hub, LED Light & Storage – Multi-Functional Computer Tray for Bed, Sofa, Home, and Office",$49.99,$58,96629,3614,4.4,FBA,10,No
