ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F8BTSTDV,"Laser Level with Tripod, 100 feet Green Cross Line Self Rotary Leveling Laser Level, Vertical and Horizontal Line, Rotatable 360 Degree, Manual Self leveling and Pulse Mode,IP54 Waterproof & Battery",$30.96,$100,1899,956,4.4,FBA,1,No
B0B56BB51R,"Self-Leveling Laser Level, 100Ft Green Cross Line Rotary Laser Tool - 4 Brightness Modes, Manual & Pulse Mode for Indoor/Outdoor Use, IP54 Waterproof with Carrying Bag",$24.99,"$11,839",376,3513,4.3,FBA,2,No
B0DX1T6D1M,"Motovera Self Leveling Laser Level 100ft, Green Cross Line with Tripod, 4 Brightness Modes & Pulse Function, Manual & Self-Leveling Modes, IP54 Waterproof for Picture Hanging, Tile, DIY Construction",$39.99,"$11,839",376,3508,4.3,FBA,3,No
B0FP4DGL8T,"Laser Level with 40in Tripod, Huepar 150°/150Ft Self Leveling Lazer Leveler Tool with Pulse Mode (197Ft), Switchable Green Cross Line for Picture Hanging, Tile, DIY/Construction Project",$54.99,"$1,201",6802,10294,4.4,FBA,4,No
B0CKJXX4XR,"BOSCH GLL50-20 50 Ft Self-Leveling Cross-Line Laser, Includes Integrated Magnetic Mount & 2 AA Batteries",$69.00,"$1,628",5333,5625,4.4,FBA,5,No
B07VRZS44Z,"Laser Level, RockSeed Cross Line Laser with Self-Leveling, Vertical and Horizontal Line, Rotatable 360 Degree, Carrying Pouch, Battery Included (Red Laser, 2-Line)",$19.99,"$1,435",3238,5711,4.3,FBA,6,No
B0CFF83CWW,"Fanttik D2 Pocket Green Laser Level, 100 ft Self-Leveling Cross Line Laser, Type-C Rechargeable, Rotatable 360 Degree, Pulse Mode, Magnetic Bracket, Carrying Pouch, for Picture Hanging and Home DIY",$39.99,"$6,452",2281,1003,4.6,FBA,7,No
B0B1DSBNZ3,"Huepar Laser Level 360 Self Leveling, Rechargeable Green Laser 3x360° Cross Line Lazer Leveler 3D Level Laser Tool for Construction and Picture Hanging, Strong Magnetic Bracket&Hard Carry Case -HM03CG",$85.99,"$2,120",5224,1804,4.6,FBA,8,No
B07VPH48T9,"Laser Level, RockSeed Cross Line Laser with Self-Leveling, Vertical and Horizontal Line, Rotatable 360 Degree, Carrying Pouch, Battery Included (Green Laser, 2-Line)",$23.99,"$1,435",3239,11615,4.3,FBA,9,No
B0G2S3F2B3,"Huepar Laser Level with Tripod,100Ft Self Leveling Green Cross Line Laser for Picture Hanging, Tile, Decoration & DIY Construction – AA Battery&Picture Hanging Strips, Indoor Use",$39.98,"$4,281",2993,3785,4.3,FBA,10,No
