ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07GZWWN9Q,STACY LASH Eyelash Extension Shampoo + Brush / 1.69 fl.oz / 50ml / Eyelid Foaming Cleanser/Wash for Extensions & Natural Lashes/Safe Makeup Remover/Supplies for Professional & Home Use,$14.95,"$26,277",1018,17398,4.6,FBA,1,No
B0827RZ29W,Eyelash Extension Shampoo 60 ml + Brush - Eyelid Foaming Cleanser - Sensitive Paraben & Sulfate Free - Eyelash Wash and Lash Bath for Extensions - Salon Use and Home Care,$9.99,"$4,274",10416,6061,4.5,FBA,2,No
B0D2BW66KP,"EMEDA Lash Shampoo Kit 2.02 fl oz Lash Cleaning Kit with Rechargeable Fan Dryer/Brush/Rinse Bottle, Oil-free Cleanser Wash for Extensions & Clusters & Natural Eyelashes, Cleaner for Eyelash Care",$9.99,"$12,854",2387,2244,4.7,FBA,3,No
B08RJFTFN4,"BREYLEE Eyelash Cleanser, Shampoo Foam & Brushes Eyelid Cleanser for Makeup Remover Paraben & Sulfate Free for Salon and Home Use(60ml, 2 fl oz)",$8.99,"$5,158",4637,8182,4.5,FBA,4,No
B0GT48XTS9,"Whipped Lash Shampoo, 100ml Eyelash Extension Cleanser, Gentle Eyelash Cleaner for Lash Extensions, Safe Makeup Remover, Eyelid Foam Cleaning Kit with Lash Wash Brush (Pink)",$8.99,$84,68799,0,4.5,FBA,5,No
B0DDC8BR6Z,STACY LASH Lash Shampoo 50ml Kit Foaming Cleanser with Eye Lash Spoolies & Rinse Bottle & Cleansing Pad & Brush for Eyelash Extensions & Clusters & Natural Eyelashes,$17.89,"$26,277",1020,534,4.7,FBA,6,No
B08TT6DWCH,LIVBAY New Lash Bath + Brush Combo - Aftercare Foaming Cleanser for Eyelash Extension | Lash Bath | Oil Free & Gentle Formula (Professional Use Only),$18.00,$83,122945,251,4.5,FBA,7,No
B088S6YYRH,Eyelash Extension Shampoo & Brush - Large 100ml Bottle - Gentle Foaming Cleanser Lash Wash for Extensions and Natural Lashes - Safe Daily Makeup Remover - Paraben & Sulphate Free - Salon & Home Use,$25.00,"$1,289",19263,933,4.6,FBA,8,No
B0CLN9C2T1,Buqikma Lash Cleaning Kit - Lash Shampoo Kit Eyelash Extension Cleanser for Extensions 60ML with Rechargeable Handheld Lash Fan Dryer Mascara Brush Rinse Bottle Makeup Cleansing Foam for Lash Care,$8.99,"$3,644",10152,1221,4.6,FBA,9,No
B0BHSTNQMQ,STACY LASH Eyelash Extension Shampoo + Brush / 3.38 fl.oz / 100ml / Eyelid Foaming Cleanser/Wash for Extensions & Natural Lashes/Safe Makeup Remover/Supplies for Professional & Home Use,$17.79,"$26,277",976,925,4.7,FBA,10,No
