ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B06VWWX1W6,eBoot 100 Pack Disposable Eyeliner Brush Eyelash Serum Brushes Eyeshadow Applicator Eye Lash Wands Makeup Tool,$6.98,"$1,690",16555,2342,4.4,FBA,1,No
B07YLGTVTF,Dming 200PCS Micro Applicators Brushes Mini Cotton Swabs Remove Grafted Eyelash Glue Dedicated Brush Disposable Microswabs for Eyelash Extensions Make up and Lash Clean and Personal Care (Black 1),$7.99,"$1,121",27474,858,4.7,FBA,2,No
B07P9CTFJK,Sinen 3pcs 10ml Empty Mascara Tube Wand Eyelash Cream Container Bottle with 3 Rubber Inserts 3 Funnels 3 Transfer Pipettes,$4.99,"$2,077",15444,7725,4.5,FBA,3,No
B08FCHGW2L,"10ml Empty Mascara Tube with Wand,Eyeliner Tube and Lip Gloss Tubes,Eyelash Cream Container Bottle with Funnels Transfer Pipettes (3pcs)",$5.99,$562,40343,1798,4.4,FBA,4,No
B0DF7DC877,"Korean Eyelash Growth Serum | Eyebrow Serum to Grow Brows & Lashes | Biotin, Peptides & Centella | Prostaglandin-Free, Non-Irritating | Dual Applicator | Korean Skincare | 0.3 fl oz (10 ml)",$17.99,$627,28238,254,4.2,FBA,5,No
B0C61HHZ6R,"Micro Brushes, Microswabs For Eyelash Extensions & Makeup, Lint Free Lip Micro Applicator Brush, Disposable Micro Swabs, Eye Lash Mascara Wands",$4.99,"$1,241",23985,462,4.6,FBA,6,No
B0FKN1D3KW,2Pcs Empty Lash Serum Bottle with Brush 5ml Eyeliner Tube and Container for Eyelash Growth Oil Refillable Mascara Bottles with Mini Funnel Vials for DIY Liquid Makeup Storage Silver,$5.99,$95,139255,10,3.4,FBA,7,No
B07WG2641G,2pcs 5ml Acrylic Multi-functional Empty Eyelashes Tube Eyeliner Vials Bottle Containers with Wand Applicators Best for Eyelash/Eyebrow Growth Serum Castor Oil,$6.99,$27,188810,27,4.2,FBA,8,No
B08NWSB791,"COSNORI Long Active Eyelash Serum - Korean Eyelash Boost Serum - Eyebrow Growth Enhancer for Longer and Thicker - Vegan Prostaglandin Free & Non Irritating - Peptides, Hyaluronic Acid, 0.3 fl.oz.",$19.50,"$4,089",10368,779,4.2,FBA,9,No
B0C61DXB9T,"Eyxformula 200 Pcs Disposable Micro Applicator Brush, Precision Lint Free Micro Swabs for Eyelash Extensions, Microswabs for Eye Lash Serum Application, Eyebrow Tint, Lip Makeup Touch-ups, Dental",$6.99,"$1,241",11884,462,4.6,FBA,10,No
