ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GSP4M37V,AspenClean Laundry Powder + Booster 2-in-1 Unscented 55 Loads Hyper Concentrated Stain & Odor Removal Enzyme Booster Non-Toxic 100% Natural EWG Verified,$24.99,$214,66200,2,5,FBA,1,No
B0029XNTEU,"ARM & HAMMER Super Washing Soda Household Cleaner and Laundry Booster, 55 oz Box",$5.38,"$69,621",,54815,4.8,FBA,2,No
B0CJH9DRM6,"Enzyme Laundry Booster Odor Remover - 2 lbs Unscented Enzymatic Clothes Stain Cleaner Powder, Natural Deodorizer with Bio Active Enzymes, Detergent Additive Eliminator for Sweat, Oil, Blood - 64 Loads",$19.95,"$39,906",763,5510,4.7,FBA,3,No
B07L8NJY8W,Active Wear Laundry Detergent & Soak - Formulated for Sweat and Workout Clothes - Natural Performance Concentrate Enzyme Booster Deodorizer - Powder Wash for Activewear Gym Apparel (90 Loads),$25.46,"$6,266",5869,5660,4.5,FBA,4,No
B0FV528V6Q,"Mavwicks - Luxury Laundry Detergent Powder (Luxe) 32 Oz – Concentrated for Tough Stains and Odors, For All Washing machine types – Gentle on Fabrics",$16.99,"$1,475",24040,187,3.8,FBA,5,No
B01NBJZ2F8,"20 Mule Team All Natural Borax Detergent Booster & Multi-Purpose Household Cleaner, 65 Ounce, 4 Count",$27.66,"$45,842",252,34565,4.8,FBA,6,No
B0C7N6GJZ1,"Home ""CASHMERE"" Powdered Luxury Laundry Detergent Powder & Booster Ultra-Concentrated Peachwood & Patchouli Scent Natural, Stain-Fighting, HE Safe, Gentle on Skin 32 oz/64 Loads",$21.97,$41,153640,78,4.1,FBA,7,No
B09MSP7M5Y,"Dirty Labs | Scent Free | Bio Enzyme Laundry Booster | 48 Loads (1 lb) | Hyper Concentrated | High Efficiency & Standard Machine Washer | Nontoxic, Biodegradable | Stain & Odor Removal Enzyme Booster",$22.00,"$13,491",2676,2471,4.5,FBA,8,No
B0BDCSVCV1,"BLUELAND Oxi Laundry Booster Powder with Tin, Starter Set, Clear Skies Scent, 25 Loads, 17.6 oz, Plastic-Free, Eco Friendly, Oxy Cleaner, Stain Remover",$21.99,"$11,790",4090,1186,4.6,FBA,9,No
B00CQ7SX2C,"Rockin' Green Hard Rock Laundry Detergent for Hard Water (90 Loads), Plant based, Natural Laundry Detergent Powder, Biodegradable Odor Fighter, Safe for Sensitive Skin, 45 oz (Unscented)",$19.99,"$4,166",8283,10329,4.6,FBA,10,No
