ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DXVH683V,Saker Cordless Leaf Blower Portable Dust Cleaner Handheld Blowers 2 x 4.0Ah Batteries 180000 RPM Air Duster with Adjustable Speed for Drying Patio Cleaning Green,$59.96,"$1,530",10327,720,4.1,FBA,1,No
B0GRH24XLH,"Leaf Blower Cordless with Battery and Charger, 980,000 RPM, Extended Nozzle, Lightweight Handheld Design,Blower for Patio Cleaning,car Blowing Water, Blowing Leaves and Dust",$59.99,$34,39978,0,5,FBA,2,No
B0G255ZMN1,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Light Green",$59.99,"$19,942",267,2198,4.4,FBA,3,No
B0G25B99XD,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Orange",$59.99,"$19,942",267,2198,4.4,FBA,4,No
B0FC6PZ56P,"Leaf Blower Cordless, 3 x 21V Batteries & Fast Charger Set, Variable Speed Mode, Lightweight Handheld Electric Leaf Blower for Lawn Care, Yard, Garden, Patio & Outdoor Cleanup",$64.99,$910,38843,655,4.2,FBA,5,No
B0GW8X1NXY,"Cordless Leaf Blower - 21V 3000mAh Battery Powered, 459CFM 150MPH Wind Speed, 30-60 Min Runtime, Lightweight 3 lb for Yard Cleaning, Car Drying & Interior Dust Blowing",$79.99,$1,566255,0,5,FBA,6,No
B0FT37QK1V,"Leaf Blower Cordless, Handheld Leaf Blower with 2 X 4.0Ah Battery and Charger, Snow Blower with 6 Speed Modes, Lightweight Blowers for Lawn Care, Patio, Yard, Blowing Snow, Leaves, Dust",$58.98,"$8,231",653,874,4.4,FBA,7,No
B0DS8C67NW,"Leaf Blower Cordless - 21V Powerful Electric Leaf Blower with 2 Batteries and Charger, 2 Speed Modes, 2.0Ah Lightweight Battery Powered Leaf Blowers for Lawn Care, Patio, Dust, Blowing Leaves",$59.97,$720,870,3245,4.3,FBA,8,No
B0GXHXM2MR,"OGERY Brushless Leaf Blower Cordless with Lights, Powerful Electric Leaf Blowers with 2 x 3.0Ah Batteries & Fast Charging, 700CFM 900G Wind Pressure Handheld Blower for Lawn Care Yard Garden, Yellow",$49.99,$168,35240,26,4.9,FBA,9,No
B0DTT48614,"Cordless Leaf Blower, 450CFM/125MPH Six-Speed Adjustment, 2 * 4.5Ah 21V Batteries, High Power Copper Wire Motor with 3 Tube, Lightweight Handheld Blower for Lawn Care, Patio, Blowing Leaves",$39.99,$134,87719,41,4,FBA,10,No
