ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DT65YV1Z,"Electric Leaf Blower Vacuum Mulcher: DEKOPRO 12 Amp 3 in 1 Electric Leaf Blower Corded Lawn Care Tools, Leaf Vacuum and Mulcher, 40L Leaf Collector Bag with Shoulder Strap for Yard, Garden, Patio",$59.99,$113,43165,29,4.3,FBA,1,No
B08GL1YTV4,"SuperHandy Leaf Mulcher Shredder Electric Waste Management Heavy Duty 120V AC 11"" Inch Cutting Blade 0.5"" Inch Cutting Capacity for Leaves, Grass, & Clippings",$299.99,$36,98995,461,3.8,FBA,2,No
B007VSQFIU,"BLACK+DECKER Corded Leaf Blower Leaf Vacuum and Leaf Mulcher 3-in-1, Up to 230 MPH, 12 Amp Handheld Blower and Vacuum Combo (BV3600)",$59.00,"$1,870",3068,4193,4.1,FBA,3,No
B00MN4YCKK,"WORX Trivac 3 in 1 Electric Leaf Blower for Lawn Care, Leaf Vacuum with 350 CFM & 210 MPH, Leaf Mulcher with Metal Impeller, WG509",$79.99,"$3,525",5095,11761,4.2,FBA,4,No
B0D6C499HY,"SuperHandy Leaf Vacuum & Wood Chipper - 7 HP 209CC Gas Engine, 10:1 Mulch Ratio, 6 Bushel Bag Capacity, Castor Wheels, Dual Function: Walk-Behind Leaf Vacuum Mulcher & Wood Chipper",$1098.99,$26,300415,25,3.1,FBA,5,No
B07V1YKY7Z,"SuperHandy Leaf Shredder Mulcher, Corded Electric, 17:1 Reduction, 15A 1800W 120VAC Dual Edge Blades, for Brush, Sticks, Dry Debris",$94.99,$12,224346,890,3.4,FBA,6,No
B07PGX4SXW,"WORX Trivac 3 in 1 Electric Leaf Blower for Lawn Care, Leaf Vacuum with 600 CFM, Leaf Mulcher with Metal Impeller, WG512",$117.32,"$3,587",4504,7108,4.2,FBA,7,No
B0GX55MBZT,"Handheld 3-in-1 Leaf Blower, Vacuum & Mulcher with Bag, 25.4cc 2-Cycle Gas Powered 180 MPH 432 CFM Lightweight Lawn Care Tool for Gifts",$149.99,$8,191131,0,5,FBA,8,No
B0F5HNYR2V,"PERFERATE 3in1 Electric Leaf Blower 110V Lightweight Handheld Small Blower Vacuum and Mulcher with 35L Bag 466CFM, 2 Mode for Patio Cleaning, Lawn Care, Blowing Fallen Leaves and Dust",$65.99,,1496922,0,,FBA,9,No
B0FMK7PLWB,"GreenSweep Electric Wood Chipper & Mulcher – 15A Powerful Garden Chipper for Branches, Sticks & Yard Waste – Compact, Quiet & Easy to Use with Collection Bag",$89.00,$164,44228,184,4,FBA,10,No
