ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DCHXFB1R,"Leather Edge Skiving Beveler Tool 5 Set,Leather Cutting Knife,French Beveler,Wide Mouth Leathercraft Edge Skiving Beveler Leather Trimmer with Wooden Handle Four Sizes(4mm,6mm,8mm and 10mm)",$15.99,$864,9348,700,4.4,FBA,1,No
B0GJZNLFL3,"Jmuiiu Leather Edge Skiving Bevelers Tool, Skiving Knife Leather Working Tools Leather Edge Trimmer, Wide Mouth Skiving Tool for All Types of Leather Processing(4mm, 6mm and 8mm)",$8.99,$42,113167,7,4.1,FBA,2,No
B084377Q68,Metal Leather Skiver and Safety Beveler Skiving Knife DIY Cutting Tool Kits with 6 Pieces Skiver Blades for Leather Craft DIY and Making,$13.99,$228,20514,779,4.2,FBA,3,No
B08B3SFG87,"Honoson Leather Skiving Tool Set - 6 Piece Leather Craft Tool Set with 4 Edge Bevelers, Cutting Knife, and Sandalwood Burnisher (1.5 Mm, 1.2 Mm, 1.0 Mm, 0.8 Mm)",$16.99,$148,50835,552,4.3,FBA,4,No
B0C7H176W6,"Manual Leather Splitter Set, Leather Skiver Tools, Strap Cutter Skiving Machine Edge Skiving Knife with Blades Leatherworking Tools for Leathercraft for Leatherworking",$49.99,$146,51938,135,4.2,FBA,5,No
B0F5WFP1H2,"ZEAYEA 6 Piece Leather Knife Set, Including 4 Edge Beveler, 1 Skiving Knife and 1 Sandalwood Burnisher, Leather Craft Tool Set for Craft Cutting, Shoe Repair, DIY Projects",$9.99,$35,68811,17,4.1,FBA,6,No
B0C1T5C4Y3,"Leather Edge Skiving Beveler Tool Set,French Beveler,Wide Mouth Leathercraft Edge Skiving Beveler Leather Edge Trimmer with Wooden Handle Four Sizes(4mm,6mm,8mm and 10mm)",$13.99,$864,9348,699,4.4,FBA,7,No
B08DTC33K8,"Skiving Knife, Metal Leather Skiver, Leather Craft Tools Skiver, Heavy Duty Hand Skiver for Leather, 6 Pieces Skiver Blades for Leather Craft DIY and Leather Making",$12.34,$580,18630,709,4.1,FBA,8,No
B08PZDNW43,"Leather Edge Skiving Beveler Tool Set,Wide Mouth Leathercraft Edge Skiving Beveler Leather Edge Trimmer with Wooden Handle Three Sizes(4mm,6mm and 8mm)",$9.99,$864,9750,699,4.4,FBA,9,No
B0FNN6STPF,"QWORK 2-Piece Leather Edge Trimming Cutter Set, Non-automatic Steel Leather Craft Skiving Cutting Tools, Handwork DIY Tool with Bag",$6.47,$38,95202,7,4.2,FBA,10,No
