ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01M0SWIQ3,USB Powered LED Strip Lights TV Backlights Kit for 50 to 55 Inch TV - Sony LG Samsung Monitor Smart TV Wall Mount Stand Work Space Color Changing LED Background Ambient Lighting,$29.99,$829,17206,10896,4.5,FBA,1,No
B0DWT19X4M,"PAUTIX 5V USB COB RGB LED Strip Light 9.84ft/3m Color Changing Light Strips,TV Backlight Multicolor Flexible Under Cabinet Tape Lights with Bluetooth Control for Bedroom,Kitchen,Home DIY Lighting",$25.64,$996,11965,22,4.7,FBA,2,No
B0GXDH9PWS,"AOC TV LED Backlight, TV Lights that Change with TVs for 55-65 inch Screen, RGB Strip Lighting with Sensor, Syncs Behind The Monitor, Smart App Control, Movie Game Music & DIY Mode, 14.8FT",$84.99,$203,31707,33,4.5,FBA,3,No
B07X2GZQ8P,"Led Lights for TV 82 85 86 90 95 Inches,21Ft TV Led Backlight for TV Home Theater Ambient Lighting Gaming Decor, Room Decor,Easy-Bending Design TV Lights, USB Powered TV Lights",$29.99,$151,58770,4788,4.5,FBA,4,No
B0G39DRMRX,"Linkind 10ft Smart LED Strip Lights - AuraScape Segmented Color Changing WiFi Light Strip - Compatible with Alexa & Google Home - DIY Dynamic Lighting for Bedroom, Living Room, Gaming Setup & Kitchen",$29.98,$125,66238,31,4.6,FBA,5,No
B0991Q94KP,"Govee RGBIC LED Strip Lights, Smart LED Lights for Bedroom, Bluetooth LED Lights APP Control, DIY Multiple Colors on One Line, Color Changing LED Strip Lighting Music Sync, Home Decor, 16.4ft",$14.99,"$23,923",63,24831,4.5,FBA,6,No
B09T92F9Z8,"MATICOD LED Lights for TV Led Backlight, 9.84ft RGB Led Strip Lights USB TV Lights Behind 32-43in, APP Remote Control Music Sync TV Led Light for Bedroom Gaming Home Décor",$7.99,"$2,545",1916,5937,4.5,FBA,7,No
B09V366BDY,KSIPZE 100ft Led Strip Lights RGB Music Sync Color Changing Led Lights with Smart App Control Remote Led Lights for Bedroom Room Lighting Flexible Home Décor,$9.98,"$19,773",40,38711,4.4,FBA,8,No
B09C7F16KT,"KANTUTOE LED Lights for TV, 16.4ft LED Lights for 45-75 Inch TVs, RGB TV Backlight Behind, Music Sync Bluetooth APP & Remote Control Strip Lights USB Powered for Bedroom, Gaming, Home Décor",$8.99,"$15,151",260,8141,4.5,FBA,9,No
B0CCBH8R6K,"AILBTON 20Ft Neon Rope Lights,Flexible Led Rope Lights Control with App/Remote,Multiple Modes Music Sync Gaming RGB Led Neon Lights for Bedroom Outdoor",$13.99,"$2,742",3894,1690,4.3,FBA,10,No
