ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07QFTGGYF,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,"$64,135",57,19855,4.7,FBA,1,No
B07B6SHFHV,"Digital Hanging Luggage Scale with Comfortable Handle and Large Hook, 110lb/50kg, Backlit Portable Scale for Travel Fishing with Tare/Hold Function, AAA Batteries Included, Grey",$25.99,$719,55222,1779,4.6,FBA,2,No
B0G5HLLW3G,"Luggage Scale with TSA Approved Lock, Digital Portable Hanging Baggage Scale 110lb/50kg, Travel Weight Scale for Suitcases, Avoid Overweight Fees, Travel Essentials Gift",$10.99,$287,129372,11,4.7,FBA,3,No
B0FFSX46XP,"travel inspira Rechargeable Luggage Scale 110lb/50kg - Large Backlit Display - Stainless Steel - Portable Digital Hanging Scale for Suitcases, Bags, Packages (USB -C Charging Included)",$19.99,"$1,326",54421,316,4.7,FBA,4,No
B09PQB73JD,"Digital Fish Scale Hanging Scale Fishing Scale, SKEAP 110lb/50kg Luggage Scale,Fish Weighing Scale, Upgrade Large Handle & Backlit LCD Display, Black,Fishing Gifts for Men,Black",$9.98,"$7,147",1054,3373,4.5,FBA,5,No
B07N1F68PZ,"Digital Hanging Luggage Scale with Backlit for Travel, Portable Handheld Suitcase Weight Scale with Hook, 110 Pounds, Battery Included",$5.98,"$1,117",23144,8176,4.7,FBA,6,No
B01CNGXR6C,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,"$64,135",51,13293,4.7,FBA,7,No
B003STEIJ4,"American Weigh Scales Digital Hanging Luggage Scale for Traveling or Weighing Suitcases, Backlit LCD Screen 110lbs x 0.2lbs, LS-110",$17.99,$252,181169,589,4.2,FBA,8,No
B01CNGXR8K,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,"$64,135",51,6752,4.7,FBA,9,No
B0BLC7SPXH,"Meilen Fishing Scale,110lb/50kg Hanging Luggage Weigh Scale Unit with Backlit LCD Display, Suitcase Luggage Weigh Divice with Large Handle, Digital Postal Unit Fishing Gifts for Men",$9.99,$518,87657,2856,4.7,FBA,10,No
