ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B01CNGXR6C,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,"$64,002",44,13312,4.7,FBA,1,No
B07B6SHFHV,"Digital Hanging Luggage Scale with Comfortable Handle and Large Hook, 110lb/50kg, Backlit Portable Scale for Travel Fishing with Tare/Hold Function, AAA Batteries Included, Grey",$25.99,$743,55151,1779,4.6,FBA,2,No
B0DY15GKXR,"travel inspira Luggage Scale Battery-Free, Travel Essentials, Portable Handheld Digital Suitcase Weight Scale for for Travel Accessories, 110lbs/50kg (Black)",$25.99,$735,71740,1108,4.7,FBA,3,No
B0C53H1KLN,"pack all 110 Lbs Luggage Scale, Digital Handheld Baggage Scale, Travel Suitcase Weight Scale with LCD Display, Battery Included, Pink",$12.34,$499,80389,899,4.5,FBA,4,No
B0BJTR8GM7,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,$870,89130,1645,4.5,FBA,5,No
B07N1F68PZ,"Digital Hanging Luggage Scale with Backlit for Travel, Portable Handheld Suitcase Weight Scale with Hook, 110 Pounds, Battery Included",$5.98,"$1,263",6240,8176,4.7,FBA,6,No
B07QFTGGYF,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,"$64,002",44,19923,4.7,FBA,7,No
B09JWFHRGD,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",$9.99,"$64,002",44,4635,4.8,FBA,8,No
B09PQB73JD,"Digital Fish Scale Hanging Scale Fishing Scale, SKEAP 110lb/50kg Luggage Scale,Fish Weighing Scale, Upgrade Large Handle & Backlit LCD Display, Black,Fishing Gifts for Men,Black",$11.23,"$7,066",942,3380,4.5,FBA,9,No
B018QH7NA8,"Flexzion Digital Luggage Scale, Baggage Weight Scale, 110 Lb (50 Kg) with 10g Deviation, Portable Handheld Suitcase Weight Scale with Hook for Travel, Fish Weighing, Black",$14.98,$983,50682,361,4.5,FBA,10,No
