ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CHZFJ2NH,"Magnesium Citrate Gummies | Extra Strength for Calm, Relaxation & Digestion | High Absorption Magnesium Gummies for Adults | Vegan, Non-GMO | Raspberry Flavor Mag Gummy | 60 Ct, 1 Month Supply",$15.95,"$2,968",14435,899,4.4,FBA,1,No
B0DJVTG1FL,"Magnesium Citrate Gummies 500mg for Women Men Sugar Free, Magnesium Citrate for Constipation & Bloated | Chelated Magnesium Supplement w/ B6 for Mood, Calm | Calcium Magnesium for Bone & Muscle,120cts",$36.99,"$1,114",27225,210,4.4,FBA,2,No
B0FX2MKJVJ,"Magnesium Citrate Gummies 600mg for Women Men, High Absorption Magnesium Supplement Gummies for Calm, Relaxation, Muscle Health, Vegan, Strawberry Flavor, 60 Count",$9.99,$371,54437,50,4.4,FBA,3,No
B085V638VB,"Nature Made High Absorption Magnesium Citrate 200 mg per serving, Magnesium Supplement for Muscle, Nerve, Bone and Heart Support, 60 Magnesium Gummies, 30 Day Supply",$20.80,"$16,662",2761,11173,4.5,FBA,4,No
B0F1ZDCCRQ,"Magnesium Citrate Gummies - Sugar Free - High Absorption & Bioavailability Magnesium Gummy Supplement - Improved Vegan Formula - Supports Bones, Muscles, Calm, & Relaxation - Mag Citrate - 60 Gummies",$8.82,$474,38767,122,4.6,FBA,5,No
B0DQSM4YWT,"Magnesium Citrate 600mg Gummies (120 Count) - Maximum Strength, Supports Calm, Bone, Heart & Nerve Health - Gluten-Free, Non-GMO, Vegetarian, Great Tasting Raspberry Flavor - 60 Servings",$16.95,$500,55866,215,4.4,FBA,6,No
B07BSP6GDT,Magnesium Citrate Complex 500 MG for Constipation & Digestion Support | High Absorption Magnesium Supplement | Citrato de Magnesio | Calm & Relaxation | Non-GMO Soy-Free | 60 Mag Citrate Capsules,$19.95,"$18,204",1618,23061,4.6,FBA,7,No
B0BWYZTMKX,"Nature's Bounty Magnesium Citrate Gummies for Adults, Supports General Health, Bone, Nerve, Muscle & Heart Health Support, 270mg per Serving, Vegan, Non-GMO - Raspberry 90 Count",$16.59,"$1,928",19958,806,4.5,FBA,8,No
B09SDVXB61,"Vitamatic Magnesium Citrate Gummies 600mg per Serving - 60 Count - Promotes Healthy Relaxation, Muscle, Bone, & Energy Support (Pack of 2)",$22.99,"$16,142",3254,11942,4.5,FBA,9,No
B0GN54T6RW,"Nature Made Zero Sugar Magnesium Citrate Gummies 200 Mg Per Serving, Muscle & Bone Support, Aspartame Free, 40 Sugar Free High Absorption Magnesium Gummies, 20 Day Supply",$18.99,$830,30194,38,4.2,FBA,10,No
