ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DJ1T6ZWZ,"Magnesium Glycinate Gummies 600mg, Sugar Free Magnesium Gummies for Adults, Chewable Potassium Supplements for Body Support, Zzz and Relaxation, 120 Count",$23.99,"$18,506",1666,2191,4.5,FBA,1,No
B0DZSL4KWM,"Magnesium Glycinate Gummies 400mg, High Absorption Magnesium Gummies with L-Theanine, Ashwagandha & GABA for Relaxation, Stress Relief & Sleep, Sugar Free, Vegan, 60 Raspberry",$28.99,"$1,814",18951,127,4.4,FBA,2,No
B0CL53QTTQ,"90 CT Magnesium Glycinate Gummies 1000mg - Sugar Free Magnesium Potassium Supplement with Vitamin D, B6, CoQ10 for Calm Mood & Sleep Support - 90 Raspberry Gummies",$13.99,"$1,989",8513,944,4.5,FBA,3,No
B0FS6472VP,"Magnesium Glycinate Gummies 600mg, Sugar Free Magnesium Gummies for Adults with Ashwagandha, Lemon Balm & GABA for Sleep, Mood Support and Relaxation, Vegan, 60 Raspberry",$24.64,$262,85991,15,4.6,FBA,4,No
B0DB852H2G,"Magnesium Glycinate Gummies 1000mg with Magnesium L-Threonate,Chelated Magnesium Potassium Complex Supplement with VitD, B6, CoQ10, Calcium,Supports for Memory, Calm, Mood - 90 Gummies Blueberry",$17.99,"$3,369",11067,937,4.3,FBA,5,No
B0DZMF7YG1,"Magnesium Glycinate Gummies 600mg, High Absorption Magnesium Gummies with L-Threonate, Calcium, Vitamin B6, D3, Sugar Free Chews for Adults & Kids Relaxation, Stress Relief, Night Rest",$18.99,"$1,969",8421,212,4.6,FBA,6,No
B0DRW5ZDFQ,"Secret Element Magnesium Glycinate 2150MG Gummies for Women and Men, High Absorption Magnesium Glycinate, Citrate, Malate Gummies for Adults & Kids, Sleep Support, Sugar Free, Vegan, 60 Chews, Orange",$26.97,"$11,610",3577,1043,4.4,FBA,7,No
B0CBVZ9B2G,"Nature Made High Absorption Magnesium Glycinate Gummies 100 mg per Serving, Muscle, Nerve, Bone and Heart Support, Magnesium Supplement, 40 Magnesium Gummies, 20 Day Supply",$12.85,"$14,279",767,3044,4.6,FBA,8,No
B0DJ1TQDQR,"Magnesium Glycinate Gummies 600mg, Chewable Sugar Free Potassium Magnesium Gummies with Manganese Glycinate, Vitamin D, B6, and CoQ10 for Calm Support & Sleep for Adults, 60 Days Supply",$23.99,"$18,506",1666,260,4.6,FBA,9,No
B0DDK4XJ7Z,"Magnesium Glycinate Gummies for Adults & Kids 4+, Sugar Free Magnesium Bisglycinate Supplement 400/200mg with B6D3, 5HTP, L-Theanine for Sleep & Relaxation, Brain, Muscle, Melatonin Free Gummies,1Pack",$19.99,"$30,304",1142,1167,4.5,FBA,10,No
