ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GHQW2NFZ,"Magnesium Complex Gummies 60 Count – Optimal Absorption Magnesium Glycinate with Vitamin D3, K2, Zinc & B Vitamins – Sleep, Calm, Muscle & Nerve Health for Women & Men",$19.99,$5,275104,0,4.5,FBA,1,No
B09J57MF4S,"BeLive Magnesium Glycinate Gummies 200 mg - Sugar Free Supplement for Muscle Relaxation, Sleep Support, & Heart Health for Adults & Kids - Pineapple Flavor - 2 Pack, 120 Count",$33.99,"$9,592",7403,5171,4.3,FBA,2,No
B0FXBCYHZY,"Magnesium Sleep Gummies 400mg – Calm Magnesium Complex Gummies for Sleep Support & Relaxation with L-Theanine & Ashwagandha – Non Melatonin, Sugar Free Vegan, 60 Count",$22.99,$72,181571,37,4.6,FBA,3,No
B0FS6472VP,"Magnesium Glycinate Gummies 600mg, Sugar Free Magnesium Gummies for Adults with Ashwagandha, Lemon Balm & GABA for Sleep, Mood Support and Relaxation, Vegan, 60 Raspberry",$24.64,$262,85991,15,4.6,FBA,4,No
B0DJP7N354,"Zinc and Magnesium Supplement, Zinc Magnesium Aspartate Post Workout Gummies for Men Women, with Vitamin B6, B12, D3, Turmeric for Nighttime Recovery, Reduce Fatigue, Boost Immunity & Sleep, 120 Count",$37.59,"$1,764",17681,252,4.6,FBA,5,No
B083T9C83D,"PUREFINITY Magnesium Gummies – Supplement for Sleep, Muscle Recovery, Cramps, Bone, and Energy Support – Non-GMO, Allergen Free, Vegan (60 Gummies)",$15.97,$415,58017,2680,4.4,FBA,6,No
B0DNRJCM7P,"OLLY Relaxing Magnesium Gummies, Supports Muscle Relaxation*, Magnesium Citrate, Raspberry Lavender Flavor, 15 Day Supply - 60 Count",$13.34,"$14,953",2603,1337,4.5,FBA,7,No
B0DZMF7YG1,"Magnesium Glycinate Gummies 600mg, High Absorption Magnesium Gummies with L-Threonate, Calcium, Vitamin B6, D3, Sugar Free Chews for Adults & Kids Relaxation, Stress Relief, Night Rest",$18.99,"$1,969",8421,212,4.6,FBA,8,No
B092LH46KV,"OLLY Muscle Recovery Sleep Gummies, Sleep and Healthy Muscle Support,* 3mg Melatonin, Tart Cherry Extract, Vitamin D, Berry Rested Flavor, 20 Day Supply - 40 Count",$13.99,"$5,686",7264,2680,4.6,FBA,9,No
B0CBVZ9B2G,"Nature Made High Absorption Magnesium Glycinate Gummies 100 mg per Serving, Muscle, Nerve, Bone and Heart Support, Magnesium Supplement, 40 Magnesium Gummies, 20 Day Supply",$12.51,"$14,279",743,3044,4.6,FBA,10,No
