ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0FQ1VWK4P,"Magnesium L-Threonate Gummies - with Vitamin D, K2 & Omega-3 Fish Oil - Brain Health, Memory and Sleep Support - Non-GMO, Natural Berry Flavor, 90 Count (90)",$18.50,$120,121389,16,4.2,FBA,1,No
B0F7MRG3X8,"Magnesium L-Threonate Gummies 1000mg - Brain Supplement for Memory & Focus for Adults & Kids - Sugar-Free, Non-GMO, Raspberry Flavor - 60 Count",$16.99,$204,96185,59,4.3,FBA,2,No
B0F7M5D59R,"2 Pack Magnesium L-Threonate Gummies 1000mg - Brain Supplement for Memory & Focus for Adults & Kids - Sugar-Free, Non-GMO, Raspberry Flavor - 120 Count",$26.99,$204,115501,58,4.3,FBA,3,No
B0DB852H2G,"Magnesium Glycinate Gummies 1000mg with Magnesium L-Threonate,Chelated Magnesium Potassium Complex Supplement with VitD, B6, CoQ10, Calcium,Supports for Memory, Calm, Mood - 90 Gummies Blueberry",$17.99,"$2,942",12302,98,4.2,FBA,4,No
B0FBWRQQNR,"2 Pack Liposomal Magnesium Threonate High-Potency 3000mg Gummies,Liposomal Enhance 98% Absorption,Magnesium L-Threonate Supplements, Muscle & Bone Wellness for Kids & Adults",$26.98,"$1,584",19738,159,4.4,FBA,5,No
B006P536E6,"Life Extension Neuro-Mag Magnesium L-Threonate, Memory Health, Quick Thinking, Cognitive Health Support, Vegetarian, Non-GMO, 90 Vegetarian Capsules (144 mg from 2000 mg Magtein magnesium L-threonate",,"$89,729",201,24057,4.6,FBA,6,No
B0FZW4THFB,"Magnesium L-Threonate 1200mg Gummies to Support Focus & Muscles, Sugar-Free Raspberry Flavor, 120 Count for Adults & Kids",$23.99,$44,146834,30,4.3,FBA,7,No
B0FN3S86X3,"Magnesium Glycinate Gummies 600mg, 120 Counts Chews Sugar Free Magnesium Gummies for Adults & Kids with L-Threonate, Calcium, Zinc & CQ10, Potassium Supplements for Zzz, Brain, Muscle & Relax",$17.99,$646,23540,56,4.6,FBA,8,No
B0F8B415BZ,"Magnesium L-Threonate Liquid Drops 1500mg High Absorption Brain Supplement for Memory Focus Sleep Sugar Free Vegan 2.04 Fl Oz, GMP Certified for Kids and Adults",$19.96,$463,39301,58,4.6,FBA,9,No
B0FLXV8H8B,"90 Count | Magnesium Gummies for Women & Men, Support Calm, Restful Sleep & Muscle Health, Sugar Free, Vegan, Non-GMO, Raspberry Flavor",$24.95,$717,46516,139,4.4,FBA,10,No
