ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CD7922TC,"6Pcs Massage Heads with Storage Bag, Replaceable Massager Gun Attachment, Massage Gun Deep Tissue Plug&Play Applicators",$13.99,$25,210095,8,3.5,FBA,1,No
B0CQS3WN1B,"Massage Gun Attachments for Hypervolt Go, 12PCS Replaceable Massager Heads to Meet Different Needs for Deep Tissue Percussion Relief, Upgraded Massage Head Plug-n-Play Accessories Easy to Use",$20.99,$84,119818,33,4.2,FBA,2,No
B0BWYPSWML,"TOLOCO Massage Gun, Back Massager 10 Replacement Head for Pain Relief Deep Tissue, Percussion Massage Guns 7 Speed Level Super Quiet Electric Massager Mothers Day Gifts, Carbon",$35.99,"$8,949",5424,11862,4.5,FBA,3,No
B0CD759GB7,Massager Head with 4 Round Balls Massage Gun Soft Heads Replacement 4 Balls Massage Head with 3 Sizes Silicone Adapters,$19.99,$20,348381,16,3.6,FBA,4,No
B0G7GRM8PK,"Massage Gun Heads,2 PCS Round-Head Massage Gun Attachments,0.75 Inch Diameter Massage Gun Replaceable Soft Heads,19mm Diameter Muscle Massager Attachments for Back Massager Exchanging",$12.99,$79,100119,0,,FBA,5,No
B0969QFBHV,9Pcs Replaceable Massage Gun Heads - Deep Tissue Muscle Attachments and Accessories for Massage Gun - Plug-n-Play Adapter Set,$14.99,$21,358802,24,3.8,FBA,6,No
B09YPTQBCH,"AiRelax Massage Gun Attachments for Hypervolt Go, Upgraded 15 PCS Massager Heads to Meet Different Needs for Deep Tissue Muscle Massage Gun, Plug-n-Play MassageGun Accessories Easy to Use.",$20.89,$183,98005,337,4.3,FBA,7,No
B0G8HDLVG1,"Massage Gun Heads,2 PCS Air-Cushion-Head Massage Gun Attachments,0.75 Inch Diameter Massage Gun Replaceable Soft Heads,19mm Diameter Muscle Massager Attachments for Back Massager Exchanging",$9.99,$35,169897,0,,FBA,8,No
B0DNQBYLCV,"EDNEY 6 Pack Replaceable Massage Gun Heads, Muscle Massager Gun Accessories in Assorted Functions, Massage Head Outer Dia.18.6 mm (0.73 in), NOT Universal for All Massage Gun",$9.99,$151,124809,4,3.1,FBA,9,No
B0B2WP7GTK,"Massage Gun Heads, Replaceable Massager Gun Attachment 9 Different Muscle Massager Heads for 18-19mm Deep Tissue Percussion Massage Head s",$13.99,$121,103086,47,4.1,FBA,10,No
