ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GYL3827L,Insulin Cooler Wallet - Insulin Cooler Travel Case - Keep Medication Cool for 50+ Hours Cooling Bag - Cold Wallet Perfect for Travel and Everyday Use,$19.99,$20,123881,0,5,FBA,1,No
B08SR294KM,"4ALLFAMILY Nomad Insulin Travel Case Cooler – 48H Non-Electric Insulin Cooler Travel Case TSA Approved with Lightweight Design – Air Traveling Friendly, Reusable Medium Blue Thermo for Medications",$39.99,"$5,939",7101,3196,4.6,FBA,2,No
B00BPPF5G8,FRIO Cooling Wallet - Insulin Cooler for 45+ Hours of Stress Free On The Go - Black - XL,$40.95,"$4,829",7822,6698,4.3,FBA,3,No
B0F32GL9PR,"Insulin Cooler Travel Case for Vial, Portable Insulated Medication Cooler for Diabetes – TSA Approved, Keep Peptide Vials & Medicine Bottles Refrigerated, Small Diabetic Cool Bag",$14.95,$551,25959,123,4.7,FBA,4,No
B0GGGPF4Q7,Gosemai Insulin Cooler Travel Case TSA Approved Medication Cooler for Travel Diabetes Case Refrigerated Medicine Bag with 2 Ice Pack（Keep Meds Below 77℉） (Blue),$16.99,$68,227713,8,4.6,FBA,5,No
B001EB0ZAO,FRIO Cooling Wallet - Insulin Cooler for 45+ Hours of Stress Free On The Go - Black - Mini,$28.95,"$4,829",7959,6698,4.3,FBA,6,No
B0002262DA,FRIO Cooling Wallet - Insulin Cooler for 45+ Hours of Stress Free On The Go - Blue - Large,$36.95,"$4,829",8396,6698,4.3,FBA,7,No
B0002262BM,FRIO Cooling Wallet - Insulin Cooler for 45+ Hours of Stress Free On The Go - Blue - Individual,$28.95,"$4,829",7959,6700,4.3,FBA,8,No
B0D2W4YRQ5,"YOUSHARES Insulin Cooler Travel Case with Temperature Display - Refrigerated Medicine Cooling Bag with 2 TSA Approved Ice Pack, Medication Pen Diabetic Supplies Organizer for Trip and Daily",$14.99,"$15,085",3083,4094,4.3,FBA,9,No
B00022628K,FRIO Cooling Wallet - Insulin Cooler for 45+ Hours of Stress Free On The Go - Blue - Duo,$35.95,"$1,240",25610,3145,4.3,FBA,10,No
