ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CBW623LN,"Sharps-Shuttle - Single Use Travel Sharps Container for Needles Syringes - Portable Small Sharp Containers with Locking Lid, Puncture Resistant Transportable Needle Disposal Containers 6 Pack",$14.99,"$1,205",31765,198,4.7,FBA,1,No
B01N5SQPL9,"Drug Deactivation Disposal System - Deterra Safe Medication, Pill, and Liquid Destroyer - Large Pouch Disposes 90 Pills, 12 oz or 12 Patches (3-Pack)",$25.77,$400,58402,149,4.7,FBA,2,No
B0CBS6JJJ1,"Best Safe Rx Pharmaceutical Med Destroyer & Disposal Container - Dispose Old RX Medication Drugs, Pill & Liquid Buster (4 Pack) Gallon",$149.95,$419,98691,165,4.6,FBA,3,No
B0DT4X6C8J,"Sharps Container Small - Sharps Containers for Home Use and Labs - Portable Needle Disposal and Travel Size Biohazard Bin - (5 Quart, 2, Count)",$17.49,"$8,786",,945,4.8,FBA,4,No
B0BYRR513H,"Chumia 10 Pcs Sharps Containers for Home Use, 1 Quart Portable Small Needle Disposal Sharps Container Home Travel, with Locking Lid for Biohazard Syringes, Safe Needle Box Disposal",$25.99,$186,110276,65,4.7,FBA,5,No
B0BFJW6X41,Alcedo Sharps Container for Home Use 1 Quart (1-Pack) | Biohazard Needle and Syringe Disposal | Small Portable Container for Travel and Professional Use,$6.95,"$52,156",472,10148,4.7,FBA,6,No
B0CP9ZV2WB,Sharps Container Small - Sharps Containers for Home Use and Labs - Portable Needle Disposal and Travel Size Biohazard Bin - 1 Quart (Pack of 1),$6.99,"$26,104",2133,4092,4.6,FBA,7,No
B084RGTX2W,Alcedo Sharps Container for Home Use and Professional 1 Quart (3-Pack) | Biohazard Needle and Syringe Disposal | Small Portable Container for Travel,$13.95,"$52,156",472,10143,4.7,FBA,8,No
B0DDG6PYB9,"1 Quart (3-Pack) Sharps Container for Home Use, Needle Disposal Containers, Biohazard Containers, Syringe Disposal, Small Portable Container for Travel, Professional Sharp Waste Disposal",$9.99,"$8,395",6023,921,4.5,FBA,9,No
B0CPB42NBQ,Sharps Container Small - Sharps Containers for Home Use and Labs - Portable Needle Disposal and Travel Size Biohazard Bin - 2 Quart (Pack of 1),$7.99,"$25,227",,4110,4.6,FBA,10,No
