ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F26M71TJ,"Insulin Cooler Travel Case TSA Approved Diabetic Medicine Cooling Bag with Digital Temperature Display, 2 Ice Pack",$22.99,"$3,304",14321,368,4.5,FBA,1,No
B0D2W4YRQ5,"YOUSHARES Insulin Cooler Travel Case with Temperature Display - Refrigerated Medicine Cooling Bag with 2 TSA Approved Ice Pack, Medication Pen Diabetic Supplies Organizer for Trip and Daily",$14.99,"$15,085",3083,4094,4.3,FBA,2,No
B0DT72TT3W,"YOUSHARES Insulin Cooler Travel Case with 2 TSA Approved Ice Packs, Diabetic Medication Cooling Bag with Temperature Display, Refrigerated Insulated Storage Kit for Insulin Pen and Diabetes Supplies",$21.99,$231,105262,907,4.6,FBA,3,No
B094XHJFPM,4ALLFAMILY Explorer Insulin Cooler Travel Case 3-In-1 – Insulin Travel Case TSA Approved with 72h Cooling – Magenta USB Powered Medicine Cooler + Ice Pack for Temperature-Sensitive Meds,$139.99,"$1,394",22872,1234,4.5,FBA,4,No
B0D6W27NSW,"Insulin & GLP-1 Cooler Travel Case Fits Zepbound and Mounjaro Pens, TSA Approved Peptide Cooling Case with Real-time Temp Display, Portable Diabetic Medication Travel Bag with 2 Ice Packs",$14.99,$462,47978,117,4.2,FBA,5,No
B0D2W35PP8,"suzamed Insulin Cooler Travel Case,EVA Insulation Travel Medicine Kit with 2 Ice Packs for Diabetes Care,Insulin Pen and Other Diabetic Supplies (Purple)",$8.99,"$21,310",1694,2320,4.6,FBA,6,No
B0FGJQ37B2,"SurviveX Travel Medicine Kit - Compact TSA-Approved Medication Pack for Travel, Camping, Cruises - Includes Over-the-Counter Individual Medicine Packets",$29.99,"$3,015",14870,152,4.7,FBA,7,No
B0CRDXPBFF,"AUVON Insulin Cooler Travel Case with 2 x 90g TSA Approved Ice Packs, Diabetic Medication Insulated Cooling Bag for Insulin Pens and Diabetic Supplies Storage, Compact for Daily Life and Trips",$8.99,"$20,177",1414,3353,4.6,FBA,8,No
B0FWQYH13S,"suzamed Insulin Cooler Travel Case,EVA Insulation Travel Medicine Kit with 2 Ice Packs for Diabetes Care,Insulin Pen and Other Diabetic Supplies (Pink)",$8.99,"$21,310",1858,2333,4.6,FBA,9,No
B0BM42YFQ5,"Cruxer Insulin Vial Cooler Travel Case for Diabetes,Portable Refrigerated Medicine Organizer with Ice Brick, Small Bottle Protector Bag for Keeping Medication Cool During Travel",$15.28,"$4,650",9011,877,4.7,FBA,10,No
