ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0DCDWLST7,"Every Man Jack Beard Grooming Kit for Men - Includes Sandalwood Beard Oil & Beard Balm, Beard Brush, Wooden Dual-sided Comb, Trimming Scissors and Mustache Comb",$32.99,"$1,515",17058,490,4.8,FBA,1,No
B0D3QML64D,"Yinke Travel Storage Case for Philips Norelco Multigroom Series 3000/5000, MG3740/40, MG5910/49 - Protective Organizer for Beard Trimmer, Attachments, Face & Ear Hair Trimmer, and Hair Clipper Shaver",$9.99,$352,45087,398,4.7,FBA,2,No
B00006IV4B,"Remington Precision Grooming Travel Kit, Black",$18.99,$33,140906,175,4.4,FBA,3,No
B08P4HHSZT,"Ufree Beard Trimmer for Men, Waterproof Electric Razor for Nose, Body, Face & Mustache, Cordless Hair Clippers Shavers Grooming Kit, Gifts for Men Husband Father",$33.28,"$16,698",1064,27842,4.4,FBA,4,No
B0F911QCMT,"Beatslm Manscape Beard Trimmer for Men, Groin & Body Hair Trimmer, Ball Shaver, Nose Hair Clippers, All-in-One IPX7 Waterproof Men's Wet/Dry Groomer Kit, Rechargeable with Travel Case, LED Display",$39.99,"$1,191",32333,423,4.4,FBA,5,No
B0FCYBJK6T,"Ufree 3-in-1 Beard Trimmer for Men, Gifts for Men, IPX6 Waterproof Men's Electric Razor Shaver, Hair Mustache Trimmer Professional Clippers, Type-C Body Grooming Kit, Birthday Gifts for Him",$19.98,"$15,713",1571,1998,4.2,FBA,6,No
B0F4K72P5X,"ProCase Hard EVA Travel Case for Electric Hair Clipper Trimmer, Protective Storage Organizer Bag for Beard/Body/Bikini Trimmer & Shaver -Black",$9.99,$300,56426,122,4.6,FBA,7,No
B0BMKLJW22,"Ufree Beard Trimmer for Men, Electric Razor Shaver, Cordless Hair Clipper Shaving Kit for Mustache Body Nose Ear Hair Facial, Adjustable Beard Grooming Kit Birthday Gifts for Men",$35.99,"$17,257",1363,15385,4.3,FBA,8,No
B0FWR6CBPB,Bomxin Beard Trimmer for Men 6 in 1 Cordless Waterproof Electric Hair Clippers Mustache Body Face Trimmer All in One Grooming Kit with LED Display USB Rechargeable,$26.99,"$1,272",17591,162,4.7,FBA,9,No
B0BNLX8TCB,"Braun All-in-One Style Kit Series 5 5471, 8-in-1 Trimmer for Men with Beard Trimmer, Body Trimmer for Manscaping, Hair Clippers & More, Ultra-Sharp Blade, 40 Length Settings, Waterproof",$64.99,"$2,422",15486,6131,4.4,FBA,10,No
