ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F9NXWHT9,"Handheld Electric Cordless Leaf Blower – 500,000RPM Mini Turbo Jet Blower with 2×4.0Ah Batteries & Charger, Lightweight for Patio, Lawn, Garage Cleaning (Black)",$39.98,"$1,261",10347,490,4.3,FBA,1,No
B0GRH24XLH,"Leaf Blower Cordless with Battery and Charger, 980,000 RPM, Extended Nozzle, Lightweight Handheld Design,Blower for Patio Cleaning,car Blowing Water, Blowing Leaves and Dust",$59.99,$46,25000,0,5,FBA,2,No
B0F8GRB37Y,"EWORK Small Leaf Blower Cordless 20V Mini Leaf Blower 130CFM/200MPH with Battery and Fast Charger, Lightweight Electric Leaf Blowers, Compact Blower for Jobsite, Patio Cleaning, Lawn Care",$33.99,"$2,225",6661,1052,4.3,FBA,3,No
B0G255ZMN1,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Light Green",$59.99,"$19,539",315,2198,4.4,FBA,4,No
B0FMJR48W8,"HEINPRO Cordless Leaf Blower Compatible with Dewalt 20V Max Battery (Tool Only), Up to 200MPH Small Electric Leaf Blower, 3 Speeds Mode, Battery Powered Mini Leaf Blowers for Patio",$33.99,"$1,393",6786,318,4.4,FBA,5,No
B0G25B99XD,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Orange",$59.99,"$19,539",302,2198,4.4,FBA,6,No
B0F99B85K4,"Cordless Leaf Blower Compatible with for DeWalt 20V Battery, Mini Handheld Blower with 125MPH 430CFM Power, Lightweight Air Blower for Garage, Lawn & Home Use (Battery Not Included)",$26.57,$335,52862,103,4.2,FBA,7,No
B0F5VMMY54,"Electric Cordless Leaf Blower Dust Blower for DEWALT 20V Battery, High-Speed Motor Handheld Jet Fan Air Blower for Patio Cleaning, Lawn Care, Blowing Leaves and Dust (No Battery/Charger)",$39.99,"$1,549",8152,365,4.4,FBA,8,No
B08JCGJKQF,"NEWONE Small Leaf Blower Cordless Compatible with Makita 18V Battery,157MPH/64CFM Lightweight Mini Hand Electric Leaf Vacuum for Lawn Care with Battery and Charger,2 Speed",$39.99,$677,20388,1135,3.9,FBA,9,No
B0GYPM28M9,"Electric Leaf Blower Cordless for De-walt 20v Max Battery, Handheld Leaf Blowers for Lawn Care, Blowing Leaves ＆ Dust, Turbo Jet Blower Car Dryer,battery Powered Mini Leaf Blower(Battery Not Included)",$39.99,$98,29135,16,5,FBA,10,No
