ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CGDJ79RK,"EWORK Small Leaf Blower Cordless 21V 130CFM & 200MPH Lightweight Electric Leaf Blower with 2x2.0Ah Battery and Fast Charger, Mini Battery Powered Compact Blowers for Lawn Care, Leaves, Jobsite",$45.99,"$2,225",6661,1047,4.3,FBA,1,No
B0GRH24XLH,"Leaf Blower Cordless with Battery and Charger, 980,000 RPM, Extended Nozzle, Lightweight Handheld Design,Blower for Patio Cleaning,car Blowing Water, Blowing Leaves and Dust",$59.99,$46,25000,0,5,FBA,2,No
B0F8GRB37Y,"EWORK Small Leaf Blower Cordless 20V Mini Leaf Blower 130CFM/200MPH with Battery and Fast Charger, Lightweight Electric Leaf Blowers, Compact Blower for Jobsite, Patio Cleaning, Lawn Care",$33.99,"$2,225",6661,1052,4.3,FBA,3,No
B0F9NXWHT9,"Handheld Electric Cordless Leaf Blower – 500,000RPM Mini Turbo Jet Blower with 2×4.0Ah Batteries & Charger, Lightweight for Patio, Lawn, Garage Cleaning (Black)",$39.98,"$1,261",10347,490,4.3,FBA,4,No
B0G255ZMN1,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Light Green",$59.99,"$19,539",315,2198,4.4,FBA,5,No
B0CLHXTM4Y,"Leaf Blower Cordless with Battery and Charger, 20V Electric Cordless Blower 120MPH Small Leaf Blower, Lightweight Battery Blower Yard Tools Grass Blowers for Lawn Care Patio Backyard Leaves and Dust",$37.95,"$1,397",25296,1934,4,FBA,6,No
B0G25B99XD,"YUQUESEN Cordless Leaf Blower, 980,000 RPM Handheld Leaf Blower with 2 X 4.0Ah Batteries & Charger, Lightweight Leaf Blowers for Patio Cleaning, Lawn Care, Leaves, Dust - Orange",$59.99,"$19,539",302,2198,4.4,FBA,7,No
B0FMJR48W8,"HEINPRO Cordless Leaf Blower Compatible with Dewalt 20V Max Battery (Tool Only), Up to 200MPH Small Electric Leaf Blower, 3 Speeds Mode, Battery Powered Mini Leaf Blowers for Patio",$33.99,"$1,393",6786,318,4.4,FBA,8,No
B0GWQ8X7M3,"Leaf Blower Cordless Mini Hand Held Leaf Blower Cordless for 20V Battery(NO Battery), Small Car Dryer Air Blowers for Patio Garage Yard Snow Cleaning Car Dryer(Tool Only)",$28.49,$6,109303,131,4.1,FBA,9,No
B0F2MHG39M,"Leaf Blower Cordless, Powerful Handheld Electric Blower with 2×21V Batteries, Lightweight Leaf Blower for Lawn Care, Patio, Leaves, Snow & Dust Removal (Leaf Blower Cordless)",$23.09,$609,20301,240,4.2,FBA,10,No
