ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B08DKQ3JG1,"Quntis Computer Monitor Lamp, Screen Monitor Light Bar for Eye Caring, USB Reading LED Task Lamp with Auto-Dimming, Dimmable Light Bar, Touch Control, No Glare Space Saving Home Office Desk Lamps",$39.95,"$6,413",1,13466,4.6,FBA,1,No
B0DRG3WXB3,"YEELIGHT Monitor Light Bar, Computer Monitor Lamp for Home Office Gaming, 250LM No Glare Eye-Care LED Screen Bar, Touch Control USB Reading Desk Lamp with Stepless Dimming for Flat & Curved Monitor",$29.99,$971,19835,225,4.5,FBA,2,No
B09XR4MYB6,"Monitor Light Bar, Fit for Curved/Flat Monitor, Eye-Care USB Reading LED Task Lamp with Touch Control, No Screen Glare Dimmable Desk Lamp Computer Monitor Light Bar for Screen Home Office",$27.99,$911,23217,530,4.4,FBA,3,No
B0FW43JPNG,"Monitor Light Bar, Eye-Care USB Reading Mnitor lamp, 11.8'' LED Computer Lights with Ultrawide Lighting, 3 Color Temperature Dimmable Desk Light for Home Office Gaming",$13.99,$464,3,126,4.4,FBA,4,No
B0GRR9KQ7J,"RGB Computer Light Bar， LED Monitor Lamp Screen Light Bar, Adjustable Monitor Light Bar with Clip Mount,for Computer Monitors and Home Office Settings",$69.99,$53,65,2,5,FBA,5,No
B0B6P9J3J5,"Quntis Monitor Light Bar PRO+ with Remote Control, Fit for Curved/Flat Monitor, Eye-Care USB Computer Lamp Dimmable Screen Light Bar with Auto-Dimming, No Glare Home Office Gaming Desk Lamp",$69.99,"$6,413",1,2313,4.4,FBA,6,No
B0CKRJZBTX,"Quntis Computer Monitor Light Bar with Remote, Eye-Care Monitor Light Backlight Desk Lamp for Home Office Gaming, Stepless Dimming Brightness and Color Temperature, No Screen Glare, Gray",$49.99,"$1,344",10556,922,4.7,FBA,7,No
B0G4ZYSP7J,"RGB Monitor Light Bar, Eye-Care Dual Light Reading Screen Lamp, 9 Modes Gaming Backlight LED Computer Lamp, 3 Colors Dimmable Frontlight, 15.75'' USB Desk Lights for Home, Office",$15.99,"$1,715",19,54,4,FBA,8,No
B0CZ46G1F2,"CATPOWER Portable Laptop Monitor Light Bar with USB Connection, e-Reading LED Task Lamp, 3 Color Temperature Settings, 10 Levels of Brightness Adjustment, No Glare on the Screen, Saves Space",$17.99,$41,20,876,4.5,FBA,9,No
B098SWWGJB,"LYMAX Computer Monitor Light Bar, USB Computer Lamp Dimmable Screen Light Bar, Adjustable Brightness/Color Temperature with Touch Contror, No Screen Glare, Space Saving for Home Office Desk Light",$26.99,$448,44,163,4.5,FBA,10,No
