ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C7L373XM,"Simple Houseware Desk Dual Monitor Stand Riser with Drawer, Rustic Brown",$35.97,"$4,589",4,3936,4.6,FBA,1,No
B0DJKSMV2T,"gianotter Dual Monitor Stand Riser, Desk Organizer With Drawer and 2 Pen Holders, Computer Monitor Stand, Shelf for Top of Desk, Black",$28.99,"$13,981",297,2643,4.6,FBA,2,No
B095RLRP2L,"Zimilar Monitor Stand Riser with Metal Mesh Drawer, Height Adjustable with Phone Holder for Computer, Laptop, Printer, Notebook, Computer Monitor Stand with Storage",$16.98,"$1,300",36,2284,4.7,FBA,3,No
B0FXL4CK4S,"OPNICE Desk Organizers and Accessories, Computer Monitor Stand Riser with Drawer and 2 Pen Holders, Printer & Laptop Stand, Office Desk Accessories & Workspace Organizers for Home Office Supplies, Black",$16.99,"$4,638",1060,828,4.6,FBA,4,No
B0C7L35NX9,"Simple Houseware Desk Dual Monitor Stand Riser with Drawer, White",$39.96,"$4,589",4,3933,4.6,FBA,5,No
B0DB8F7GDN,"OPNICE Desk Organizer and Accessories, 2-Tier Computer Monitor Stand Riser with Drawer and 2 Pen Holders, Laptop Stand, Office Desk Accessories for Office Supplies, Black",$19.99,"$13,964",407,4600,4.6,FBA,6,No
B09LTBTKYF,"ELIVED 2 Pack Monitor Stand Riser with Drawer, 3 Height Adjustable with Larger Storage Space for Home and Office Supplies, Metal Desktop Stand for Laptop Computer Printer PC iMac",$27.99,$278,135,313,4.7,FBA,7,No
B0GS1TC6PF,"WALI Monitor Stand Riser with Drawer and 2 Pen Holders, Desk Organizers and Accessories for Computer, Printer, Laptop Stand for Home Office Supplies, (PTT004-B), 1 Pack, Black",$17.99,"$3,091",1,0,,FBA,8,No
B09FK3R22Z,Zimilar 2 Pack Monitor Stand Riser with Drawer - 3 Height Adjustable Metal Monitor Stand with Unique Star Mesh for Computer Laptop Notebook Printer,$23.99,$548,74,1156,4.7,FBA,9,No
B0F4XMKJWR,"Computer Monitor Stand Riser with Drawer, 2-Tier Desk Accessories & Workspace Organizers, Laptop Stand for Desk with Storage, Office Organization, Wood",$21.39,$644,92,112,4.5,FBA,10,No
