ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F2LF43M5,"Hard Shell Insulated Cooler Travel Case for Zepbound or Mounjaro Tirzepatide Injector Pens, TSA Approved Cold Pack, Easy to Clean, Compact Syringe Box Holder for Trip & Daily Use (Gray, Dual)",$23.99,"$2,085",22119,270,4.5,FBA,1,No
B0G4VVMPZF,"Portable Insulated Cooler Travel Case Fits 2 Zepbound or Mounjaro Injector Pens, Tirzepatide Travel Case TSA Approved with 2PCS Reusable Ice Packs, EVA Medicine Organizer for Daily Use (Black,Big)",$20.89,"$2,612",17818,136,4.2,FBA,2,No
B0F2LJ41Z1,"Hard Shell Insulated Cooler Travel Case for Zepbound or Mounjaro Tirzepatide Injector Pens, TSA Approved Cold Pack, Easy to Clean, Compact Syringe Box Holder for Trip & Daily Use (Blue, Dual)",$23.49,"$2,085",19636,270,4.5,FBA,3,No
B0G2PYVLTN,"Hard Shell Insulated Cooler Travel Case for Zepbound or Mounjaro Tirzepatide Injector Pens, TSA Approved Cold Pack, Easy to Clean, Compact Syringe Box Holder for Trip & Daily Use(Purple,Single)",$19.99,"$2,085",18810,270,4.5,FBA,4,No
B0G4VV9915,"Portable Insulated Cooler Travel Case Fits 2 Zepbound or Mounjaro Injector Pens, Tirzepatide Travel Case TSA Approved with 2PCS Reusable Ice Packs, EVA Medicine Organizer for Daily Use (Purple, Big)",$20.89,"$2,612",16211,136,4.2,FBA,5,No
B0G4VW7GJZ,"Portable Insulated Cooler Travel Case Fits 2 Zepbound or Mounjaro Injector Pens, Tirzepatide Travel Case TSA Approved with 2PCS Reusable Ice Packs, EVA Medicine Organizer for Daily Use (Black,Small)",$18.79,"$2,612",17829,136,4.2,FBA,6,No
B0GKNR5KWC,Case for Zepbound or Mounjaro Injector TSA Approved,$27.99,$275,32754,3,5,FBA,7,No
B0G7V3WGB5,"EVA Insulated Cooler Travel Case for Mounjaro Injector Pens, 2 TSA Approved Ice Pack, Real-Time Temperature Display, Medication Cooler for Travel & Daily Use",$19.99,$824,32929,24,4.4,FBA,8,No
B0GKLX71G2,"Hard Shell Travel Carry Case for Zepbound or Mounjaro Tirzepatide Injector Pens, Ultra-Slim Protective Storage Box Holder for Daily Commute - Compact, Discreet & Easy to Clean (Starlight Gray)",$17.99,,,0,4.7,FBA,9,No
B0GMNXLQ9Y,Case for Zepbound or Mounjaro Injector TSA Approved（Case Only）,$29.99,$51,158860,0,2,FBA,10,No
