ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0F2LF43M5,"Hard Shell Insulated Cooler Travel Case for Zepbound or Mounjaro Tirzepatide Injector Pens, TSA Approved Cold Pack, Easy to Clean, Compact Syringe Box Holder for Trip & Daily Use (Gray, Dual)",$21.84,"$1,801",20448,298,4.5,FBA,1,No
B0G4VVMPZF,"Portable Insulated Cooler Travel Case Fits 2 Zepbound or Mounjaro Injector Pens, Tirzepatide Travel Case TSA Approved with 2PCS Reusable Ice Packs, EVA Medicine Organizer for Daily Use (Black,Big)",$20.89,"$2,525",16381,149,4.2,FBA,2,No
B0F2LJ41Z1,"Hard Shell Insulated Cooler Travel Case for Zepbound or Mounjaro Tirzepatide Injector Pens, TSA Approved Cold Pack, Easy to Clean, Compact Syringe Box Holder for Trip & Daily Use (Blue, Dual)",$24.99,"$1,801",23050,298,4.5,FBA,3,No
B0G4VW7GJZ,"Portable Insulated Cooler Travel Case Fits 2 Zepbound or Mounjaro Injector Pens, Tirzepatide Travel Case TSA Approved with 2PCS Reusable Ice Packs, EVA Medicine Organizer for Daily Use (Black,Small)",$18.79,"$2,525",15410,149,4.2,FBA,4,No
B0GVK96Y8K,"Insulated Cooler Travel Case for 2 Zepbound & Mounjaro Injector Pens, TSA Approved Tirzepatide Pen Holder with Ice Pack, Dual-Layer Mesh Pocket, Protection Case for Travel (Purple, Fits 2 Pen)",$23.99,,,0,,FBA,5,No
B0G4VV9915,"Portable Insulated Cooler Travel Case Fits 2 Zepbound or Mounjaro Injector Pens, Tirzepatide Travel Case TSA Approved with 2PCS Reusable Ice Packs, EVA Medicine Organizer for Daily Use (Purple, Big)",$20.89,"$2,525",16801,149,4.2,FBA,6,No
B0G2PYVLTN,"Hard Shell Insulated Cooler Travel Case for Zepbound or Mounjaro Tirzepatide Injector Pens, TSA Approved Cold Pack, Easy to Clean, Compact Syringe Box Holder for Trip & Daily Use(Purple,Single)",$21.99,"$1,801",22357,298,4.5,FBA,7,No
B0GY1914W6,"Insulated Cooler Travel Case for Zepbound & Mounjaro Injector Pens, Tirzepatide GLP-1 Syringe Box with 2Pcs TSA Approved Ice Packs, Hard Shell Organizer for Trip & Daily Use (Black, Fit 2 Pens)",$23.99,,,0,,FBA,8,No
B0GMNXLQ9Y,Case for Zepbound or Mounjaro Injector TSA Approved（Case Only）,$36.99,$106,84359,0,2,FBA,9,No
B0G7V3WGB5,"EVA Insulated Cooler Travel Case for Mounjaro Injector Pens, 2 TSA Approved Ice Pack, Real-Time Temperature Display, Medication Cooler for Travel & Daily Use",$19.99,$908,36537,25,4.4,FBA,10,No
